MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-pkg/,892.92,7.620681285858154,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,903.78,7.584758996963501,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,904.11,7.590775728225708,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,904.64,7.592433214187622,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,903.77,7.602560043334961,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,848.68,7.159311771392822,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,858.43,7.159098386764526,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,856.09,7.148312330245972,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,857.00,7.1537275314331055,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,860.35,7.157707452774048,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,814.55,6.787714242935181,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,817.41,6.771140813827515,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,820.01,6.782267808914185,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,816.87,6.8068132400512695,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,821.56,6.771343469619751,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,755.72,6.291100025177002,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,763.40,6.23479700088501,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,765.78,6.2473320960998535,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,766.83,6.251060724258423,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,765.69,6.230520009994507,12.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,689.72,5.607480525970459,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,692.48,5.530452013015747,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,694.94,5.5750885009765625,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,695.79,5.568989276885986,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,687.94,5.575089931488037,16.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,689.34,5.471376895904541,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,686.85,5.415209770202637,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,697.90,5.500840902328491,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,698.95,5.509813547134399,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,696.26,5.442619562149048,20.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,717.56,5.745963096618652,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,708.53,5.606259822845459,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,703.59,5.540454626083374,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,718.41,5.7080934047698975,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,695.88,5.504554510116577,24.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,713.30,5.6768364906311035,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,642.38,4.909479141235352,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,689.18,5.370110988616943,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,705.84,5.507431507110596,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,688.02,5.43315052986145,28.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,654.54,5.119570255279541,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,709.06,5.520198822021484,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,700.18,5.411538362503052,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,635.88,4.934391498565674,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,703.53,5.514683961868286,32.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,666.88,5.2121686935424805,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,719.72,5.567093133926392,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,708.23,5.481681823730469,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,705.50,5.4087324142456055,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,708.19,5.335931062698364,36.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,649.86,5.074367046356201,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,678.21,5.216748952865601,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,645.27,5.008058071136475,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,644.51,4.942771673202515,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,639.56,4.965522050857544,40.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,645.39,5.019255638122559,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,662.93,5.102776050567627,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,653.42,4.989181041717529,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,648.98,4.9765331745147705,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,594.62,4.5245184898376465,44.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,628.92,4.872189521789551,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,615.24,4.752288103103638,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,620.61,4.748996257781982,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,637.73,4.830119609832764,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,633.61,4.848607540130615,48.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,640.19,4.980717658996582,52.0,Parallel std::sort
