MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,1033.75,5.634584665298462,,
Data Generation,250000.0,power/energy-ram/,417.10,5.634584665298462,,
Idling,,power/energy-pkg/,1833.52,10.099141597747803,,
Idling,,power/energy-ram/,752.94,10.099141597747803,,
Sorting,250000.0,power/energy-pkg/,6495.51,34.976794481277466,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2632.07,34.976794481277466,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6490.27,34.962546825408936,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2631.06,34.962546825408936,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6494.44,34.96508026123047,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2632.21,34.96508026123047,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6486.79,34.970635414123535,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2633.25,34.970635414123535,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6485.68,34.95523715019226,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2632.37,34.95523715019226,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4071.51,21.655776977539062,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1631.87,21.655776977539062,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4040.81,21.47546911239624,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1617.08,21.47546911239624,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4146.79,22.06956720352173,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1660.13,22.06956720352173,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4027.04,21.415522813796997,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1611.05,21.415522813796997,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4042.63,21.496307373046875,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1617.07,21.496307373046875,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3179.96,16.8129940032959,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1265.55,16.8129940032959,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3083.41,16.28594446182251,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1225.22,16.28594446182251,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3149.79,16.64163374900818,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1251.38,16.64163374900818,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3042.41,16.06721520423889,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1208.45,16.06721520423889,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3070.07,16.21580171585083,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1219.89,16.21580171585083,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2566.63,13.481459140777588,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1018.16,13.481459140777588,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2624.97,13.791258096694946,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1042.76,13.791258096694946,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2576.83,13.525154113769531,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1021.86,13.525154113769531,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2570.71,13.493692874908447,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1020.25,13.493692874908447,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2567.46,13.481769561767578,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1018.66,13.481769561767578,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2405.46,12.547762870788574,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,948.53,12.547762870788574,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2379.12,12.405344486236572,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,937.48,12.405344486236572,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2417.96,12.597345352172852,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,951.61,12.597345352172852,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2448.71,12.772777080535889,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,964.67,12.772777080535889,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2384.94,12.409063816070557,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,936.85,12.409063816070557,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2138.23,11.113185405731201,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,838.75,11.113185405731201,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2151.59,11.16322636604309,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,843.25,11.16322636604309,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2177.11,11.304872274398804,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,854.45,11.304872274398804,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2169.78,11.265293598175049,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,851.32,11.265293598175049,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2138.54,11.091399192810059,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,838.26,11.091399192810059,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2017.39,10.433034658432007,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,788.44,10.433034658432007,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2023.25,10.447734117507935,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,789.58,10.447734117507935,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2019.22,10.43382740020752,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,788.58,10.43382740020752,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2018.97,10.42843508720398,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,787.93,10.42843508720398,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2017.16,10.42365312576294,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,787.62,10.42365312576294,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1913.05,9.80663776397705,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,740.70,9.80663776397705,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1897.71,9.765916585922241,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,737.57,9.765916585922241,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1916.36,9.864610195159912,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,745.54,9.864610195159912,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1907.21,9.795011520385742,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,740.50,9.795011520385742,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1903.61,9.783337593078613,8.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,739.67,9.783337593078613,8.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1828.56,9.394449472427368,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,709.93,9.394449472427368,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1886.60,9.705901384353638,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,733.55,9.705901384353638,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1831.76,9.405324220657349,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,710.74,9.405324220657349,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2027.27,10.474074840545654,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,794.41,10.474074840545654,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1844.18,9.466872930526733,9.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,718.65,9.466872930526733,9.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1808.86,9.282527685165405,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,704.46,9.282527685165405,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1763.23,9.036566972732544,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,685.01,9.036566972732544,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1763.70,9.013699293136597,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,683.84,9.013699293136597,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1758.44,9.006444454193115,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,683.39,9.006444454193115,10.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,1758.64,9.01033902168274,10.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,684.20,9.01033902168274,10.0,Parallel std::sort
