MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Data Generation,250000.0,power/energy-pkg/,881.51,4.42821192741394,,
Data Generation,250000.0,power/energy-ram/,273.97,4.42821192741394,,
Idling,,power/energy-pkg/,1229.41,10.047874450683594,,
Idling,,power/energy-ram/,535.44,10.047874450683594,,
Sorting,250000.0,power/energy-pkg/,6857.23,33.491501331329346,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2087.97,33.491501331329346,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6871.57,33.43706393241882,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2086.90,33.43706393241882,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6882.00,33.42888593673706,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2088.14,33.42888593673706,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6880.32,33.441789627075195,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2086.13,33.441789627075195,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,6877.95,33.452102184295654,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,2087.76,33.452102184295654,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4321.11,20.482155799865723,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1287.00,20.482155799865723,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4256.74,20.136475324630737,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1262.67,20.136475324630737,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4282.31,20.239938259124756,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1271.19,20.239938259124756,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4294.76,20.315879344940186,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1277.02,20.315879344940186,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4299.31,20.32210063934326,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,1276.07,20.32210063934326,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3228.02,14.901254892349243,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,943.64,14.901254892349243,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3231.46,14.881782293319702,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,941.74,14.881782293319702,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3233.11,14.88025975227356,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,941.96,14.88025975227356,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3232.84,14.913546323776245,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,941.40,14.913546323776245,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,3231.04,14.879152774810791,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,940.82,14.879152774810791,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2748.02,12.530545234680176,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,794.39,12.530545234680176,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2751.76,12.524807691574097,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,794.17,12.524807691574097,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2752.51,12.51698613166809,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,794.27,12.51698613166809,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2747.97,12.489854335784912,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,792.95,12.489854335784912,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2756.70,12.532996892929077,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,795.68,12.532996892929077,4.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2425.13,10.912834882736206,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,694.69,10.912834882736206,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2436.39,10.917117595672607,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,695.93,10.917117595672607,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2430.49,10.900476455688477,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,695.24,10.900476455688477,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2431.28,10.895694732666016,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,694.77,10.895694732666016,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2450.50,11.008301973342896,5.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,701.33,11.008301973342896,5.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2223.74,9.883465766906738,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,631.03,9.883465766906738,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2225.20,9.862050294876099,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,630.64,9.862050294876099,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2225.61,9.852983713150024,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,629.64,9.852983713150024,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2222.84,9.845543384552002,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,629.16,9.845543384552002,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2221.70,9.836724519729614,6.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,629.40,9.836724519729614,6.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2072.57,9.116795063018799,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,584.40,9.116795063018799,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2070.68,9.072858333587646,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,583.17,9.072858333587646,7.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2070.37,9.094655752182007,7.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,583.19,9.094655752182007,7.0,Parallel std::sort
