MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,4000000.0,power/energy-pkg/,10921.38,75.00148391723633,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,10873.66,74.67044830322266,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,10869.42,74.65178513526917,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,9797.78,66.77179861068726,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,9897.94,67.50550031661987,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,618.88,5.171716213226318,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,621.32,5.163295745849609,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,617.44,5.1553802490234375,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,608.85,5.026930332183838,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,590.31,4.83321213722229,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,589.30,4.862633466720581,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,614.86,5.035429239273071,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,591.77,4.8749260902404785,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,603.46,4.864362716674805,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,615.46,5.010954141616821,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,610.79,4.992695569992065,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,681.17,5.434037446975708,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,616.02,5.011455774307251,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,621.47,4.9369730949401855,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,630.92,4.91942286491394,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,632.77,5.006738662719727,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,642.49,5.030671834945679,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,615.63,4.929520845413208,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,586.70,4.6619038581848145,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,601.20,4.784414052963257,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,617.18,4.987346887588501,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,658.08,5.226220369338989,32.0,Parallel std::sort
