MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,250000.0,power/energy-pkg/,"1,090.25",7.068009376525879,60.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,068.93",7.155035734176636,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,098.02",7.111809492111206,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,103.42",7.103621244430542,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,090.23",7.0844643115997314,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,081.80",7.063512086868286,64.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,094.45",7.239037990570068,68.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,100.77",7.112555503845215,68.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,087.38",7.083812952041626,68.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,099.39",7.103219270706177,68.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,102.31",7.104198932647705,68.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,098.90",7.21570611000061,72.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,108.26",7.115092515945435,72.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,097.52",7.100494623184204,72.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,099.25",7.083950519561768,72.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,101.67",7.12035870552063,72.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,099.40",7.18963360786438,76.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,087.45",7.0911760330200195,76.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,101.36",7.109785795211792,76.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,095.90",7.08956241607666,76.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,089.87",7.069283723831177,76.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,150.92",7.230770587921143,80.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,129.86",7.134650230407715,80.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,131.69",7.169395685195923,80.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,098.98",7.095889091491699,80.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,119.52",7.146607398986816,80.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,100.50",7.199897289276123,84.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,119.32",7.151889085769653,84.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,134.98",7.172019004821777,84.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,118.33",7.168076992034912,84.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,121.44",7.17916464805603,84.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,124.86",7.26317286491394,88.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,116.33",7.156129598617554,88.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,127.07",7.1674721240997314,88.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,125.36",7.163910627365112,88.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,123.07",7.17282247543335,88.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,132.61",7.323031902313232,92.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,121.97",7.166968822479248,92.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,141.52",7.1763739585876465,92.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,154.54",7.264184474945068,92.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,133.53",7.183916807174683,92.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,128.29",7.254317283630371,96.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,136.82",7.200091600418091,96.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,130.90",7.176136016845703,96.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,120.01",7.151261806488037,96.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,147.14",7.216842889785767,96.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,130.63",7.289492845535278,100.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,141.50",7.217075347900391,100.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,137.09",7.203167676925659,100.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,122.77",7.156522989273071,100.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,131.24",7.176237344741821,100.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,148.28",7.348969459533691,104.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,150.63",7.233633279800415,104.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,158.29",7.251602649688721,104.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,140.25",7.191925525665283,104.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,141.79",7.218937158584595,104.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,157.63",7.393229722976685,108.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,157.44",7.227391004562378,108.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,157.15",7.255887985229492,108.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,162.73",7.245922803878784,108.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,154.56",7.237520694732666,108.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,161.75",7.521927118301392,112.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,148.27",7.244503021240234,112.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,201.62",7.375077962875366,112.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,151.75",7.249138116836548,112.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,147.38",7.221024751663208,112.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,152.25",7.365212917327881,116.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,177.71",7.268767595291138,116.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,144.38",7.211841821670532,116.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,161.89",7.259613037109375,116.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,144.72",7.2000508308410645,116.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,174.85",7.413516998291016,120.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,163.02",7.264874458312988,120.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,144.96",7.238762617111206,120.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,149.44",7.216595888137817,120.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,"1,156.46",7.2433247566223145,120.0,Parallel std::sort
Data Generation,4000000.0,power/energy-pkg/,9420.17,90.35695791244507,,
Idling,,power/energy-pkg/,688.24,10.075782299041748,,
Data Generation,4000000.0,power/energy-pkg/,9398.54,90.31971669197083,,
Idling,,power/energy-pkg/,691.57,10.075502395629883,,
Data Generation,4000000.0,power/energy-pkg/,9391.81,90.29842329025269,,
Idling,,power/energy-pkg/,689.17,10.076818227767944,,
Data Generation,4000000.0,power/energy-pkg/,9395.55,90.34223103523254,,
Idling,,power/energy-pkg/,690.18,10.076339721679688,,
Data Generation,4000000.0,power/energy-pkg/,9389.76,90.3272807598114,,
Idling,,power/energy-pkg/,688.33,10.076147556304932,,
Sorting,4000000.0,power/energy-pkg/,"77,196.00",723.8679001331329,1.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"77,201.54",723.6556458473206,1.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"77,190.98",723.5626368522644,1.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"77,279.14",723.6460444927216,1.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"79,703.37",747.3125629425049,1.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"46,996.73",430.9801347255707,2.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"46,951.29",430.61918473243713,2.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"47,055.08",430.63414692878723,2.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"46,994.31",430.6270577907562,2.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"48,149.17",441.6656651496887,2.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"35,743.03",321.9157350063324,3.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"35,820.29",322.1190903186798,3.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"35,820.45",322.4690046310425,3.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"35,780.40",322.4224627017975,3.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"35,732.54",321.9299578666687,3.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"30,057.22",263.6699457168579,4.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"30,125.79",264.030868768692,4.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"30,057.17",263.61911129951477,4.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"30,043.84",263.5558717250824,4.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"30,019.59",263.55604457855225,4.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"26,628.55",228.9741334915161,5.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"26,687.11",229.3513629436493,5.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"26,668.63",229.0673384666443,5.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"26,651.91",229.10551261901855,5.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"26,731.30",229.04655647277832,5.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"24,486.27",206.4630572795868,6.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"24,458.13",206.21168732643127,6.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"24,424.28",206.14764714241028,6.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"24,522.06",206.48207759857178,6.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"24,581.01",207.17819499969482,6.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"22,872.45",190.05434346199036,7.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"22,887.30",190.03458046913147,7.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"22,879.07",189.97826480865479,7.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"22,931.00",190.3901617527008,7.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"25,815.19",198.45075249671936,7.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"21,745.75",178.1128273010254,8.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"21,773.19",178.26511216163635,8.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"21,754.15",178.01618242263794,8.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"21,775.86",178.08675909042358,8.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"21,744.50",177.98988795280457,8.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,920.41",169.02457785606384,9.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,915.10",168.77950739860535,9.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,929.90",169.00697112083435,9.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,966.13",168.89729404449463,9.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,942.15",168.71515250205994,9.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,179.65",161.29550862312317,10.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,224.77",161.48586511611938,10.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,217.31",161.50326108932495,10.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,207.92",161.35457253456116,10.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"20,234.77",161.51614141464233,10.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"19,210.27",150.218594789505,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"19,175.43",150.10312294960022,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"19,157.50",150.0887806415558,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"19,192.30",150.22675228118896,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"19,201.17",150.33172631263733,12.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,553.87",136.30515313148499,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,618.89",136.1680085659027,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,549.17",136.06677651405334,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,584.36",136.39092135429382,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,611.28",136.43373823165894,16.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,682.54",128.75506281852722,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,668.43",128.82364106178284,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,722.46",129.01134181022644,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,674.05",128.909264087677,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,731.13",129.4056751728058,20.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,284.64",124.16893529891968,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,297.42",124.25044059753418,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,283.02",124.1776864528656,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"18,840.64",138.26634407043457,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,268.04",124.18175411224365,24.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,137.11",121.15741086006165,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,050.78",120.60918760299683,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,088.94",120.81705474853516,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,150.01",120.96337509155273,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,126.49",120.98098826408386,28.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,351.60",118.60166573524475,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"17,305.15",118.29175662994385,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"16,846.06",117.41878128051758,32.0,Parallel std::sort
Sorting,4000000.0,power/energy-pkg/,"16,901.67",117.35475206375122,32.0,Parallel std::sort
