MEASUREMENT,DATASET_SIZE,PERF_METRIC,JOULES,RUNTIME_S,CORE_COUNT,SORT_VARIANT
Sorting,4000000.0,power/energy-pkg/,87900.70,407.9463863372803,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-ram/,8811.60,407.9463863372803,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-psys/,0.00,407.9463863372803,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,87884.88,407.9603793621063,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-ram/,8821.76,407.9603793621063,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-psys/,0.00,407.9603793621063,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,87878.59,407.9482114315033,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-ram/,8809.47,407.9482114315033,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-psys/,0.00,407.9482114315033,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-pkg/,87904.55,407.93519377708435,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-ram/,8831.15,407.93519377708435,1.0,Sequential std::sort
Sorting,4000000.0,power/energy-psys/,0.00,407.93519377708435,1.0,Sequential std::sort
Data Generation,250000.0,power/energy-pkg/,661.66,4.370370149612427,,
Data Generation,250000.0,power/energy-ram/,93.73,4.370370149612427,,
Data Generation,250000.0,power/energy-psys/,0.00,4.370370149612427,,
Idling,,power/energy-pkg/,758.74,10.027105331420898,,
Idling,,power/energy-ram/,145.53,10.027105331420898,,
Idling,,power/energy-psys/,0.00,10.027105331420898,,
Data Generation,250000.0,power/energy-pkg/,573.55,3.574418783187866,,
Data Generation,250000.0,power/energy-ram/,76.96,3.574418783187866,,
Data Generation,250000.0,power/energy-psys/,0.00,3.574418783187866,,
Idling,,power/energy-pkg/,751.90,10.027172088623047,,
Idling,,power/energy-ram/,138.88,10.027172088623047,,
Idling,,power/energy-psys/,0.00,10.027172088623047,,
Data Generation,250000.0,power/energy-pkg/,637.95,4.346086025238037,,
Data Generation,250000.0,power/energy-ram/,92.85,4.346086025238037,,
Data Generation,250000.0,power/energy-psys/,0.00,4.346086025238037,,
Idling,,power/energy-pkg/,748.24,10.027628421783447,,
Idling,,power/energy-ram/,137.27,10.027628421783447,,
Idling,,power/energy-psys/,0.00,10.027628421783447,,
Data Generation,250000.0,power/energy-pkg/,562.27,3.5665810108184814,,
Data Generation,250000.0,power/energy-ram/,76.22,3.5665810108184814,,
Data Generation,250000.0,power/energy-psys/,0.00,3.5665810108184814,,
Idling,,power/energy-pkg/,748.12,10.028975486755371,,
Idling,,power/energy-ram/,139.30,10.028975486755371,,
Idling,,power/energy-psys/,0.00,10.028975486755371,,
Data Generation,250000.0,power/energy-pkg/,750.53,3.5645852088928223,,
Data Generation,250000.0,power/energy-ram/,76.26,3.5645852088928223,,
Data Generation,250000.0,power/energy-psys/,0.00,3.5645852088928223,,
Idling,,power/energy-pkg/,754.70,10.027204036712646,,
Idling,,power/energy-ram/,145.25,10.027204036712646,,
Idling,,power/energy-psys/,0.00,10.027204036712646,,
Sorting,250000.0,power/energy-pkg/,4821.06,23.44902276992798,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,503.24,23.44902276992798,1.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,23.44902276992798,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4852.12,22.544101238250732,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,483.03,22.544101238250732,1.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,22.544101238250732,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4844.34,22.54853057861328,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,484.17,22.54853057861328,1.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,22.54853057861328,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4845.59,22.533754587173462,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,483.56,22.533754587173462,1.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,22.533754587173462,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,4847.30,22.532915592193604,1.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,483.28,22.532915592193604,1.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,22.532915592193604,1.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2950.11,14.808517217636108,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,321.96,14.808517217636108,2.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,14.808517217636108,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2976.35,13.583515405654907,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,295.83,13.583515405654907,2.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,13.583515405654907,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2977.65,13.587585210800171,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,296.07,13.587585210800171,2.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,13.587585210800171,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2975.78,13.576085329055786,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,296.49,13.576085329055786,2.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,13.576085329055786,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2977.22,13.57734203338623,2.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,296.51,13.57734203338623,2.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,13.57734203338623,2.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2255.80,11.420750141143799,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,250.48,11.420750141143799,3.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,11.420750141143799,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2287.10,10.255662202835083,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,225.45,10.255662202835083,3.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,10.255662202835083,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2282.26,10.2308509349823,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,225.08,10.2308509349823,3.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,10.2308509349823,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2284.89,10.237983465194702,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,225.06,10.237983465194702,3.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,10.237983465194702,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2287.54,10.25082516670227,3.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,225.25,10.25082516670227,3.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,10.25082516670227,3.0,Parallel std::sort
Sorting,250000.0,power/energy-pkg/,2117.22,9.548312187194824,4.0,Parallel std::sort
Sorting,250000.0,power/energy-ram/,210.33,9.548312187194824,4.0,Parallel std::sort
Sorting,250000.0,power/energy-psys/,0.00,9.548312187194824,4.0,Parallel std::sort
