MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx31",0,128,1024,281034647
"cx31",0,256,2048,278667286
"cx31",0,512,4096,278635417
"cx31",0,1024,8192,278696191
"cx31",0,2048,16384,278557589
"cx31",0,4096,32768,264661862
"cx31",0,8192,65536,407120192
"cx31",0,16384,131072,378514005
"cx31",0,32768,262144,370174550
"cx31",0,65536,524288,580252259
"cx31",0,131072,1048576,945957242
"cx31",0,262144,2097152,1166667206
"cx31",0,524288,4194304,1272488236
"cx31",0,1048576,8388608,1346162774
"cx31",0,2097152,16777216,3443536448
"cx31",0,4194304,33554432,9681111958
"cx31",0,8388608,67108864,13624429645
"cx31",0,16777216,134217728,15476498600
"cx31",0,33554432,268435456,16521303199
"cx31",0,67108864,536870912,17215801470
"cx31",0,134217728,1073741824,17656355495
"cx31",0,268435456,2147483648,18386789476
"cx31",0,536870912,4294967296,21822437456
"cx31",0,1073741824,8589934592,26438945333
"cx31",0,2147483648,17179869184,29932605254
"cx31",0,4294967296,34359738368,31862926136
"cx31",0,8589934592,68719476736,33230216513
"cx31",1,128,1024,147718210
"cx31",1,256,2048,147627198
"cx31",1,512,4096,147474322
"cx31",1,1024,8192,147475344
"cx31",1,2048,16384,147562207
"cx31",1,4096,32768,147947881
"cx31",1,8192,65536,274653174
"cx31",1,16384,131072,328137553
"cx31",1,32768,262144,416768728
"cx31",1,65536,524288,587426330
"cx31",1,131072,1048576,958741620
"cx31",1,262144,2097152,1172720929
"cx31",1,524288,4194304,1275040653
"cx31",1,1048576,8388608,534495788
"cx31",1,2097152,16777216,3379535189
"cx31",1,4194304,33554432,9977529673
"cx31",1,8388608,67108864,13573884452
"cx31",1,16777216,134217728,15443236955
"cx31",1,33554432,268435456,16547848543
"cx31",1,67108864,536870912,17183955088
"cx31",1,134217728,1073741824,17625369006
"cx31",1,268435456,2147483648,18279036732
"cx31",1,536870912,4294967296,21812890174
"cx31",1,1073741824,8589934592,26630036827
"cx31",1,2147483648,17179869184,29824036154
"cx31",1,4294967296,34359738368,31926066649
"cx31",1,8589934592,68719476736,33150457943
"cx31",2,128,1024,147703690
"cx31",2,256,2048,147649509
"cx31",2,512,4096,147869121
"cx31",2,1024,8192,147497794
"cx31",2,2048,16384,147566423
"cx31",2,4096,32768,147597983
"cx31",2,8192,65536,274899603
"cx31",2,16384,131072,330195239
"cx31",2,32768,262144,403744831
"cx31",2,65536,524288,587262176
"cx31",2,131072,1048576,960393453
"cx31",2,262144,2097152,1171908421
"cx31",2,524288,4194304,1275404956
"cx31",2,1048576,8388608,1338881334
"cx31",2,2097152,16777216,2197328299
"cx31",2,4194304,33554432,10054002198
"cx31",2,8388608,67108864,13670401275
"cx31",2,16777216,134217728,15608043047
"cx31",2,33554432,268435456,16715827247
"cx31",2,67108864,536870912,17489829486
"cx31",2,134217728,1073741824,17950761681
"cx31",2,268435456,2147483648,18720931486
"cx31",2,536870912,4294967296,22240182980
"cx31",2,1073741824,8589934592,27072395238
"cx31",2,2147483648,17179869184,29885515838
"cx31",2,4294967296,34359738368,31845986216
"cx31",2,8589934592,68719476736,33117034438
"cx31",3,128,1024,147658941
"cx31",3,256,2048,147701561
"cx31",3,512,4096,147556338
"cx31",3,1024,8192,147503038
"cx31",3,2048,16384,147618284
"cx31",3,4096,32768,147940429
"cx31",3,8192,65536,271808083
"cx31",3,16384,131072,328794104
"cx31",3,32768,262144,406634842
"cx31",3,65536,524288,587676240
"cx31",3,131072,1048576,959576608
"cx31",3,262144,2097152,1174519895
"cx31",3,524288,4194304,1274580973
"cx31",3,1048576,8388608,1328317857
"cx31",3,2097152,16777216,3489009820
"cx31",3,4194304,33554432,9720511496
"cx31",3,8388608,67108864,13553057146
"cx31",3,16777216,134217728,15415300541
"cx31",3,33554432,268435456,16488363209
"cx31",3,67108864,536870912,17113470552
"cx31",3,134217728,1073741824,17526555267
"cx31",3,268435456,2147483648,18273309806
"cx31",3,536870912,4294967296,21639405030
"cx31",3,1073741824,8589934592,26394658946
"cx31",3,2147483648,17179869184,29636894357
"cx31",3,4294967296,34359738368,31741700628
"cx31",3,8589934592,68719476736,33034616426
"cx31",4,128,1024,147623374
"cx31",4,256,2048,147941903
"cx31",4,512,4096,147622682
"cx31",4,1024,8192,147593979
"cx31",4,2048,16384,147805225
"cx31",4,4096,32768,147944256
"cx31",4,8192,65536,147649984
"cx31",4,16384,131072,332895000
"cx31",4,32768,262144,360010465
"cx31",4,65536,524288,566872698
"cx31",4,131072,1048576,954125988
"cx31",4,262144,2097152,964331210
"cx31",4,524288,4194304,1275726803
"cx31",4,1048576,8388608,1348477779
"cx31",4,2097152,16777216,1790074401
"cx31",4,4194304,33554432,9351280560
"cx31",4,8388608,67108864,13633137556
"cx31",4,16777216,134217728,15565595759
"cx31",4,33554432,268435456,16728239667
"cx31",4,67108864,536870912,17379328248
"cx31",4,134217728,1073741824,17863085569
"cx31",4,268435456,2147483648,18530648346
"cx31",4,536870912,4294967296,22053960536
"cx31",4,1073741824,8589934592,26403592781
"cx31",4,2147483648,17179869184,29857408753
"cx31",4,4294967296,34359738368,31724120083
"cx31",4,8589934592,68719476736,32988752026
