MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx29",0,128,1024,174294599
"cx29",0,256,2048,147564861
"cx29",0,512,4096,147529896
"cx29",0,1024,8192,147543030
"cx29",0,2048,16384,147568819
"cx29",0,4096,32768,148043297
"cx29",0,8192,65536,275835928
"cx29",0,16384,131072,332577348
"cx29",0,32768,262144,371635658
"cx29",0,65536,524288,585646838
"cx29",0,131072,1048576,946008175
"cx29",0,262144,2097152,574203070
"cx29",0,524288,4194304,1275079887
"cx29",0,1048576,8388608,1353124450
"cx29",0,2097152,16777216,2946402445
"cx29",0,4194304,33554432,7562133264
"cx29",0,8388608,67108864,10006124949
"cx29",0,16777216,134217728,11480820733
"cx29",0,33554432,268435456,12346003566
"cx29",0,67108864,536870912,12898265030
"cx29",0,134217728,1073741824,13474781081
"cx29",0,268435456,2147483648,13845501085
"cx29",0,536870912,4294967296,16208162856
"cx29",0,1073741824,8589934592,19706049200
"cx29",0,2147483648,17179869184,21839429873
"cx29",0,4294967296,34359738368,23287324052
"cx29",0,8589934592,68719476736,24432807756
"cx29",1,128,1024,147639801
"cx29",1,256,2048,147643037
"cx29",1,512,4096,147710674
"cx29",1,1024,8192,147562978
"cx29",1,2048,16384,147594546
"cx29",1,4096,32768,148277115
"cx29",1,8192,65536,278523966
"cx29",1,16384,131072,329519640
"cx29",1,32768,262144,361205455
"cx29",1,65536,524288,573185702
"cx29",1,131072,1048576,931166331
"cx29",1,262144,2097152,1164754377
"cx29",1,524288,4194304,1273292471
"cx29",1,1048576,8388608,1338826721
"cx29",1,2097152,16777216,3118109735
"cx29",1,4194304,33554432,7523775344
"cx29",1,8388608,67108864,9881355234
"cx29",1,16777216,134217728,11315820007
"cx29",1,33554432,268435456,12138093720
"cx29",1,67108864,536870912,12790515574
"cx29",1,134217728,1073741824,13456186201
"cx29",1,268435456,2147483648,13983728829
"cx29",1,536870912,4294967296,16032207197
"cx29",1,1073741824,8589934592,19618117950
"cx29",1,2147483648,17179869184,21960362344
"cx29",1,4294967296,34359738368,23497829832
"cx29",1,8589934592,68719476736,24492363493
"cx29",2,128,1024,147566774
"cx29",2,256,2048,147756710
"cx29",2,512,4096,147512102
"cx29",2,1024,8192,147554120
"cx29",2,2048,16384,147572215
"cx29",2,4096,32768,148391968
"cx29",2,8192,65536,275574562
"cx29",2,16384,131072,332530810
"cx29",2,32768,262144,361319441
"cx29",2,65536,524288,578389146
"cx29",2,131072,1048576,951254687
"cx29",2,262144,2097152,1170645768
"cx29",2,524288,4194304,1272073851
"cx29",2,1048576,8388608,1347862708
"cx29",2,2097152,16777216,2931313686
"cx29",2,4194304,33554432,7508678340
"cx29",2,8388608,67108864,9894413791
"cx29",2,16777216,134217728,11329638214
"cx29",2,33554432,268435456,12150735822
"cx29",2,67108864,536870912,12737654477
"cx29",2,134217728,1073741824,13396980608
"cx29",2,268435456,2147483648,13905701595
"cx29",2,536870912,4294967296,15982311050
"cx29",2,1073741824,8589934592,19377439627
"cx29",2,2147483648,17179869184,22003860007
"cx29",2,4294967296,34359738368,23789242073
"cx29",2,8589934592,68719476736,24372935278
"cx29",3,128,1024,147651418
"cx29",3,256,2048,147493803
"cx29",3,512,4096,147639106
"cx29",3,1024,8192,147528679
"cx29",3,2048,16384,147552513
"cx29",3,4096,32768,147936993
"cx29",3,8192,65536,273164996
"cx29",3,16384,131072,330088655
"cx29",3,32768,262144,360410917
"cx29",3,65536,524288,583500554
"cx29",3,131072,1048576,952502694
"cx29",3,262144,2097152,1166007256
"cx29",3,524288,4194304,1270388255
"cx29",3,1048576,8388608,1342765262
"cx29",3,2097152,16777216,2929617396
"cx29",3,4194304,33554432,7503946129
"cx29",3,8388608,67108864,9846302084
"cx29",3,16777216,134217728,11325397564
"cx29",3,33554432,268435456,12140997332
"cx29",3,67108864,536870912,12694582445
"cx29",3,134217728,1073741824,13416720677
"cx29",3,268435456,2147483648,13806081870
"cx29",3,536870912,4294967296,15922771345
"cx29",3,1073741824,8589934592,19627956120
"cx29",3,2147483648,17179869184,21814778459
"cx29",3,4294967296,34359738368,23552844763
"cx29",3,8589934592,68719476736,24595783131
"cx29",4,128,1024,151960335
"cx29",4,256,2048,151399686
"cx29",4,512,4096,151356395
"cx29",4,1024,8192,151961738
"cx29",4,2048,16384,152035857
"cx29",4,4096,32768,152305502
"cx29",4,8192,65536,294372186
"cx29",4,16384,131072,341671838
"cx29",4,32768,262144,151934537
"cx29",4,65536,524288,604550821
"cx29",4,131072,1048576,973671260
"cx29",4,262144,2097152,1189639973
"cx29",4,524288,4194304,1296330487
"cx29",4,1048576,8388608,1373554223
"cx29",4,2097152,16777216,2650466272
"cx29",4,4194304,33554432,7514428328
"cx29",4,8388608,67108864,8247993294
"cx29",4,16777216,134217728,11335445865
"cx29",4,33554432,268435456,12166128088
"cx29",4,67108864,536870912,12769759443
"cx29",4,134217728,1073741824,13345111353
"cx29",4,268435456,2147483648,13804687994
"cx29",4,536870912,4294967296,16016303919
"cx29",4,1073741824,8589934592,19344586461
"cx29",4,2147483648,17179869184,21979067153
"cx29",4,4294967296,34359738368,23873569457
"cx29",4,8589934592,68719476736,24532908121
