MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"nx06",0,128,1024,179153530
"nx06",0,256,2048,179090481
"nx06",0,512,4096,179075981
"nx06",0,1024,8192,179084699
"nx06",0,2048,16384,179074020
"nx06",0,4096,32768,179138170
"nx06",0,8192,65536,273815031
"nx06",0,16384,131072,391552674
"nx06",0,32768,262144,448058415
"nx06",0,65536,524288,597030742
"nx06",0,131072,1048576,707572512
"nx06",0,262144,2097152,1705324875
"nx06",0,524288,4194304,2327371179
"nx06",0,1048576,8388608,2724802284
"nx06",0,2097152,16777216,3164454247
"nx06",0,4194304,33554432,3512601548
"nx06",0,8388608,67108864,4907732695
"nx06",0,16777216,134217728,8409297765
"nx06",0,33554432,268435456,9425070810
"nx06",0,67108864,536870912,10124200292
"nx06",0,134217728,1073741824,12132182070
"nx06",0,268435456,2147483648,12591871746
"nx06",0,536870912,4294967296,13007039939
"nx06",0,1073741824,8589934592,13391799342
"nx06",0,2147483648,17179869184,13788096519
"nx06",1,128,1024,179089149
"nx06",1,256,2048,179086302
"nx06",1,512,4096,179078815
"nx06",1,1024,8192,179081136
"nx06",1,2048,16384,179098224
"nx06",1,4096,32768,179352013
"nx06",1,8192,65536,182587381
"nx06",1,16384,131072,390847968
"nx06",1,32768,262144,448975060
"nx06",1,65536,524288,600209440
"nx06",1,131072,1048576,715292961
"nx06",1,262144,2097152,1720399664
"nx06",1,524288,4194304,2329361523
"nx06",1,1048576,8388608,2721644399
"nx06",1,2097152,16777216,3165010530
"nx06",1,4194304,33554432,3506072169
"nx06",1,8388608,67108864,5342367088
"nx06",1,16777216,134217728,8265551538
"nx06",1,33554432,268435456,9966541332
"nx06",1,67108864,536870912,10606633732
"nx06",1,134217728,1073741824,12078601600
"nx06",1,268435456,2147483648,12605875498
"nx06",1,536870912,4294967296,13006541320
"nx06",1,1073741824,8589934592,13395802597
"nx06",1,2147483648,17179869184,13954216055
"nx06",2,128,1024,179099780
"nx06",2,256,2048,179098650
"nx06",2,512,4096,179076642
"nx06",2,1024,8192,179076224
"nx06",2,2048,16384,179077697
"nx06",2,4096,32768,179094591
"nx06",2,8192,65536,272562623
"nx06",2,16384,131072,393841638
"nx06",2,32768,262144,449528302
"nx06",2,65536,524288,301406241
"nx06",2,131072,1048576,735043097
"nx06",2,262144,2097152,722518931
"nx06",2,524288,4194304,2349192723
"nx06",2,1048576,8388608,2745248812
"nx06",2,2097152,16777216,3189921911
"nx06",2,4194304,33554432,3505815448
"nx06",2,8388608,67108864,5502646753
"nx06",2,16777216,134217728,8494744227
"nx06",2,33554432,268435456,10029133781
"nx06",2,67108864,536870912,11351772460
"nx06",2,134217728,1073741824,12278376128
"nx06",2,268435456,2147483648,12714141735
"nx06",2,536870912,4294967296,13121617487
"nx06",2,1073741824,8589934592,13519433562
"nx06",2,2147483648,17179869184,14100194527
"nx06",3,128,1024,179138482
"nx06",3,256,2048,179099097
"nx06",3,512,4096,179134823
"nx06",3,1024,8192,179153894
"nx06",3,2048,16384,179126098
"nx06",3,4096,32768,179181526
"nx06",3,8192,65536,252075106
"nx06",3,16384,131072,393979947
"nx06",3,32768,262144,449830281
"nx06",3,65536,524288,600677745
"nx06",3,131072,1048576,678777441
"nx06",3,262144,2097152,1574912688
"nx06",3,524288,4194304,2141210942
"nx06",3,1048576,8388608,2495803263
"nx06",3,2097152,16777216,2918652386
"nx06",3,4194304,33554432,3309968649
"nx06",3,8388608,67108864,5035984288
"nx06",3,16777216,134217728,8394652760
"nx06",3,33554432,268435456,9982849638
"nx06",3,67108864,536870912,11207732577
"nx06",3,134217728,1073741824,12107196354
"nx06",3,268435456,2147483648,12471231249
"nx06",3,536870912,4294967296,12814781027
"nx06",3,1073741824,8589934592,13508254711
"nx06",3,2147483648,17179869184,14009476892
"nx06",4,128,1024,179408533
"nx06",4,256,2048,179075085
"nx06",4,512,4096,179074595
"nx06",4,1024,8192,179078151
"nx06",4,2048,16384,179078862
"nx06",4,4096,32768,179688491
"nx06",4,8192,65536,270491874
"nx06",4,16384,131072,396510955
"nx06",4,32768,262144,447935056
"nx06",4,65536,524288,598740750
"nx06",4,131072,1048576,756293567
"nx06",4,262144,2097152,1743948308
"nx06",4,524288,4194304,2383744297
"nx06",4,1048576,8388608,2803503305
"nx06",4,2097152,16777216,3249663717
"nx06",4,4194304,33554432,3561089012
"nx06",4,8388608,67108864,4263564147
"nx06",4,16777216,134217728,8465060787
"nx06",4,33554432,268435456,10050875505
"nx06",4,67108864,536870912,10764378234
"nx06",4,134217728,1073741824,12248651805
"nx06",4,268435456,2147483648,12715742711
"nx06",4,536870912,4294967296,13153222510
"nx06",4,1073741824,8589934592,13530028508
"nx06",4,2147483648,17179869184,14485736156
