MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx12",0,128,1024,131229343
"cx12",0,256,2048,129190062
"cx12",0,512,4096,128649473
"cx12",0,1024,8192,128749573
"cx12",0,2048,16384,128650684
"cx12",0,4096,32768,137365015
"cx12",0,8192,65536,259621075
"cx12",0,16384,131072,313927773
"cx12",0,32768,262144,337358751
"cx12",0,65536,524288,462206272
"cx12",0,131072,1048576,652379183
"cx12",0,262144,2097152,1329236271
"cx12",0,524288,4194304,1672150516
"cx12",0,1048576,8388608,2009019257
"cx12",0,2097152,16777216,2644181434
"cx12",0,4194304,33554432,6414179414
"cx12",0,8388608,67108864,7629664357
"cx12",0,16777216,134217728,8403460411
"cx12",0,33554432,268435456,9048871397
"cx12",0,67108864,536870912,9660670241
"cx12",0,134217728,1073741824,10069520128
"cx12",0,268435456,2147483648,10356813832
"cx12",0,536870912,4294967296,11454307795
"cx12",0,1073741824,8589934592,13956207659
"cx12",0,2147483648,17179869184,15659909118
"cx12",1,128,1024,128756004
"cx12",1,256,2048,128697599
"cx12",1,512,4096,128609508
"cx12",1,1024,8192,128696385
"cx12",1,2048,16384,128748776
"cx12",1,4096,32768,129498256
"cx12",1,8192,65536,257229424
"cx12",1,16384,131072,309835154
"cx12",1,32768,262144,335187015
"cx12",1,65536,524288,462673955
"cx12",1,131072,1048576,709504636
"cx12",1,262144,2097152,1316695283
"cx12",1,524288,4194304,1670926441
"cx12",1,1048576,8388608,2012418541
"cx12",1,2097152,16777216,4035862570
"cx12",1,4194304,33554432,6406866158
"cx12",1,8388608,67108864,7644648374
"cx12",1,16777216,134217728,8390372289
"cx12",1,33554432,268435456,9026921754
"cx12",1,67108864,536870912,9632513184
"cx12",1,134217728,1073741824,10044848134
"cx12",1,268435456,2147483648,10341416466
"cx12",1,536870912,4294967296,11442784277
"cx12",1,1073741824,8589934592,13956259202
"cx12",1,2147483648,17179869184,15661296714
"cx12",2,128,1024,128920868
"cx12",2,256,2048,128882152
"cx12",2,512,4096,128813592
"cx12",2,1024,8192,128708239
"cx12",2,2048,16384,128735727
"cx12",2,4096,32768,132329397
"cx12",2,8192,65536,254607235
"cx12",2,16384,131072,309790485
"cx12",2,32768,262144,335468972
"cx12",2,65536,524288,463690413
"cx12",2,131072,1048576,673926014
"cx12",2,262144,2097152,1319524806
"cx12",2,524288,4194304,1670548951
"cx12",2,1048576,8388608,820774373
"cx12",2,2097152,16777216,2231068116
"cx12",2,4194304,33554432,6414903548
"cx12",2,8388608,67108864,7621541400
"cx12",2,16777216,134217728,8389175656
"cx12",2,33554432,268435456,9026072356
"cx12",2,67108864,536870912,9642008992
"cx12",2,134217728,1073741824,10035695055
"cx12",2,268435456,2147483648,10328936042
"cx12",2,536870912,4294967296,11403180253
"cx12",2,1073741824,8589934592,13924695360
"cx12",2,2147483648,17179869184,15643454247
"cx12",3,128,1024,128972144
"cx12",3,256,2048,128754204
"cx12",3,512,4096,129218838
"cx12",3,1024,8192,129106085
"cx12",3,2048,16384,128911341
"cx12",3,4096,32768,132593195
"cx12",3,8192,65536,252741411
"cx12",3,16384,131072,311364128
"cx12",3,32768,262144,337530804
"cx12",3,65536,524288,466298052
"cx12",3,131072,1048576,528975635
"cx12",3,262144,2097152,1104104284
"cx12",3,524288,4194304,1670773360
"cx12",3,1048576,8388608,1994548722
"cx12",3,2097152,16777216,4023339496
"cx12",3,4194304,33554432,3068074831
"cx12",3,8388608,67108864,7593024051
"cx12",3,16777216,134217728,8378909530
"cx12",3,33554432,268435456,9015870323
"cx12",3,67108864,536870912,9630306763
"cx12",3,134217728,1073741824,10032155751
"cx12",3,268435456,2147483648,10322387077
"cx12",3,536870912,4294967296,11344865006
"cx12",3,1073741824,8589934592,13936039326
"cx12",3,2147483648,17179869184,15274507872
"cx12",4,128,1024,128649261
"cx12",4,256,2048,128727489
"cx12",4,512,4096,128760635
"cx12",4,1024,8192,128818610
"cx12",4,2048,16384,129261362
"cx12",4,4096,32768,130247937
"cx12",4,8192,65536,252707088
"cx12",4,16384,131072,272852850
"cx12",4,32768,262144,336308029
"cx12",4,65536,524288,465115439
"cx12",4,131072,1048576,716730056
"cx12",4,262144,2097152,1320884606
"cx12",4,524288,4194304,1667307963
"cx12",4,1048576,8388608,1954892726
"cx12",4,2097152,16777216,4040889117
"cx12",4,4194304,33554432,6414425698
"cx12",4,8388608,67108864,7647706153
"cx12",4,16777216,134217728,8362188289
"cx12",4,33554432,268435456,9033515083
"cx12",4,67108864,536870912,9636350622
"cx12",4,134217728,1073741824,10035522839
"cx12",4,268435456,2147483648,10322927084
"cx12",4,536870912,4294967296,11220906061
"cx12",4,1073741824,8589934592,13270057472
"cx12",4,2147483648,17179869184,15238919231
