MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx24",0,128,1024,280080164
"cx24",0,256,2048,278848313
"cx24",0,512,4096,278835199
"cx24",0,1024,8192,278836600
"cx24",0,2048,16384,278956836
"cx24",0,4096,32768,273694906
"cx24",0,8192,65536,431721789
"cx24",0,16384,131072,394747169
"cx24",0,32768,262144,384398234
"cx24",0,65536,524288,607243732
"cx24",0,131072,1048576,945411442
"cx24",0,262144,2097152,1162465153
"cx24",0,524288,4194304,1268642872
"cx24",0,1048576,8388608,1337978508
"cx24",0,2097152,16777216,3558905149
"cx24",0,4194304,33554432,9672570105
"cx24",0,8388608,67108864,13587998273
"cx24",0,16777216,134217728,14714012137
"cx24",0,33554432,268435456,16442845148
"cx24",0,67108864,536870912,17176625657
"cx24",0,134217728,1073741824,20340891145
"cx24",0,268435456,2147483648,18549242504
"cx24",0,536870912,4294967296,23763872615
"cx24",0,1073741824,8589934592,27671345555
"cx24",0,2147483648,17179869184,30605662529
"cx24",1,128,1024,147761791
"cx24",1,256,2048,147636906
"cx24",1,512,4096,147537690
"cx24",1,1024,8192,147504287
"cx24",1,2048,16384,147647666
"cx24",1,4096,32768,147992915
"cx24",1,8192,65536,273315483
"cx24",1,16384,131072,332344970
"cx24",1,32768,262144,360138210
"cx24",1,65536,524288,534516367
"cx24",1,131072,1048576,959879296
"cx24",1,262144,2097152,1170505611
"cx24",1,524288,4194304,1276289288
"cx24",1,1048576,8388608,1350361823
"cx24",1,2097152,16777216,3791323315
"cx24",1,4194304,33554432,10084676965
"cx24",1,8388608,67108864,13629023615
"cx24",1,16777216,134217728,15497608255
"cx24",1,33554432,268435456,16582263767
"cx24",1,67108864,536870912,17248142423
"cx24",1,134217728,1073741824,17666417517
"cx24",1,268435456,2147483648,18721083750
"cx24",1,536870912,4294967296,22657744734
"cx24",1,1073741824,8589934592,27955381793
"cx24",1,2147483648,17179869184,30748889497
"cx24",2,128,1024,147541170
"cx24",2,256,2048,147525931
"cx24",2,512,4096,147741776
"cx24",2,1024,8192,147762064
"cx24",2,2048,16384,147575654
"cx24",2,4096,32768,148290987
"cx24",2,8192,65536,190261678
"cx24",2,16384,131072,331885772
"cx24",2,32768,262144,360318254
"cx24",2,65536,524288,598455927
"cx24",2,131072,1048576,878336393
"cx24",2,262144,2097152,1174381886
"cx24",2,524288,4194304,1275753761
"cx24",2,1048576,8388608,1329789204
"cx24",2,2097152,16777216,3793435047
"cx24",2,4194304,33554432,10088683284
"cx24",2,8388608,67108864,13638952176
"cx24",2,16777216,134217728,15503187457
"cx24",2,33554432,268435456,16579877754
"cx24",2,67108864,536870912,17256159391
"cx24",2,134217728,1073741824,17691015853
"cx24",2,268435456,2147483648,18719185054
"cx24",2,536870912,4294967296,22636518515
"cx24",2,1073741824,8589934592,27376404030
"cx24",2,2147483648,17179869184,30833837397
"cx24",3,128,1024,147561683
"cx24",3,256,2048,147623558
"cx24",3,512,4096,147476583
"cx24",3,1024,8192,147553306
"cx24",3,2048,16384,147527839
"cx24",3,4096,32768,149096932
"cx24",3,8192,65536,235528807
"cx24",3,16384,131072,250534422
"cx24",3,32768,262144,363861710
"cx24",3,65536,524288,587800719
"cx24",3,131072,1048576,959437487
"cx24",3,262144,2097152,1171664901
"cx24",3,524288,4194304,1275836589
"cx24",3,1048576,8388608,1358964002
"cx24",3,2097152,16777216,3770756294
"cx24",3,4194304,33554432,10083690948
"cx24",3,8388608,67108864,13647383974
"cx24",3,16777216,134217728,15537830796
"cx24",3,33554432,268435456,16635753303
"cx24",3,67108864,536870912,17330465480
"cx24",3,134217728,1073741824,17753592552
"cx24",3,268435456,2147483648,18817226704
"cx24",3,536870912,4294967296,22769268724
"cx24",3,1073741824,8589934592,27242700753
"cx24",3,2147483648,17179869184,30718362329
"cx24",4,128,1024,147613877
"cx24",4,256,2048,147823951
"cx24",4,512,4096,147563923
"cx24",4,1024,8192,147545990
"cx24",4,2048,16384,147551440
"cx24",4,4096,32768,147978721
"cx24",4,8192,65536,277803062
"cx24",4,16384,131072,331463247
"cx24",4,32768,262144,361274007
"cx24",4,65536,524288,564865916
"cx24",4,131072,1048576,960895410
"cx24",4,262144,2097152,1174572803
"cx24",4,524288,4194304,1275158517
"cx24",4,1048576,8388608,1357335894
"cx24",4,2097152,16777216,3770049250
"cx24",4,4194304,33554432,10071405509
"cx24",4,8388608,67108864,13651723428
"cx24",4,16777216,134217728,15497816550
"cx24",4,33554432,268435456,16577119669
"cx24",4,67108864,536870912,17236005955
"cx24",4,134217728,1073741824,17678069055
"cx24",4,268435456,2147483648,18666552308
"cx24",4,536870912,4294967296,22622233023
"cx24",4,1073741824,8589934592,27028956981
"cx24",4,2147483648,17179869184,30481381669
