MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx15",0,128,1024,130995712
"cx15",0,256,2048,128656611
"cx15",0,512,4096,128659305
"cx15",0,1024,8192,128573612
"cx15",0,2048,16384,128650980
"cx15",0,4096,32768,129712164
"cx15",0,8192,65536,253993844
"cx15",0,16384,131072,308036962
"cx15",0,32768,262144,340997161
"cx15",0,65536,524288,463338918
"cx15",0,131072,1048576,668937359
"cx15",0,262144,2097152,1348255693
"cx15",0,524288,4194304,1713669654
"cx15",0,1048576,8388608,2089185560
"cx15",0,2097152,16777216,3992843961
"cx15",0,4194304,33554432,6151084592
"cx15",0,8388608,67108864,7162410462
"cx15",0,16777216,134217728,8055636354
"cx15",0,33554432,268435456,8652435766
"cx15",0,67108864,536870912,9373896001
"cx15",0,134217728,1073741824,9822838563
"cx15",0,268435456,2147483648,10092746624
"cx15",0,536870912,4294967296,10768978846
"cx15",0,1073741824,8589934592,12985888920
"cx15",0,2147483648,17179869184,14847221410
"cx15",1,128,1024,128592735
"cx15",1,256,2048,128597771
"cx15",1,512,4096,128599775
"cx15",1,1024,8192,128627564
"cx15",1,2048,16384,128619214
"cx15",1,4096,32768,129283384
"cx15",1,8192,65536,250265185
"cx15",1,16384,131072,308879654
"cx15",1,32768,262144,336207494
"cx15",1,65536,524288,463708529
"cx15",1,131072,1048576,595226512
"cx15",1,262144,2097152,1350401039
"cx15",1,524288,4194304,1711541211
"cx15",1,1048576,8388608,2055316093
"cx15",1,2097152,16777216,4040487043
"cx15",1,4194304,33554432,6218838630
"cx15",1,8388608,67108864,7360083470
"cx15",1,16777216,134217728,8040422993
"cx15",1,33554432,268435456,8715195764
"cx15",1,67108864,536870912,9384368067
"cx15",1,134217728,1073741824,9823171893
"cx15",1,268435456,2147483648,10098821990
"cx15",1,536870912,4294967296,10928520824
"cx15",1,1073741824,8589934592,12978132256
"cx15",1,2147483648,17179869184,14844317013
"cx15",2,128,1024,128583641
"cx15",2,256,2048,128665065
"cx15",2,512,4096,132863456
"cx15",2,1024,8192,129095987
"cx15",2,2048,16384,128775059
"cx15",2,4096,32768,128677858
"cx15",2,8192,65536,255393657
"cx15",2,16384,131072,310124246
"cx15",2,32768,262144,336285583
"cx15",2,65536,524288,464189945
"cx15",2,131072,1048576,636863724
"cx15",2,262144,2097152,1351696048
"cx15",2,524288,4194304,1712012785
"cx15",2,1048576,8388608,2073999414
"cx15",2,2097152,16777216,3037924911
"cx15",2,4194304,33554432,4433539654
"cx15",2,8388608,67108864,7325700207
"cx15",2,16777216,134217728,8042621686
"cx15",2,33554432,268435456,8704671619
"cx15",2,67108864,536870912,9342326635
"cx15",2,134217728,1073741824,9798851586
"cx15",2,268435456,2147483648,9933194139
"cx15",2,536870912,4294967296,10766671829
"cx15",2,1073741824,8589934592,13001618136
"cx15",2,2147483648,17179869184,14806578275
"cx15",3,128,1024,128571952
"cx15",3,256,2048,128654069
"cx15",3,512,4096,128656247
"cx15",3,1024,8192,128587663
"cx15",3,2048,16384,128574179
"cx15",3,4096,32768,135384874
"cx15",3,8192,65536,255112384
"cx15",3,16384,131072,306721921
"cx15",3,32768,262144,336275102
"cx15",3,65536,524288,464007999
"cx15",3,131072,1048576,529563869
"cx15",3,262144,2097152,1342219187
"cx15",3,524288,4194304,1712425308
"cx15",3,1048576,8388608,1998968740
"cx15",3,2097152,16777216,4052238578
"cx15",3,4194304,33554432,6218878738
"cx15",3,8388608,67108864,7323873379
"cx15",3,16777216,134217728,7667400724
"cx15",3,33554432,268435456,8727559595
"cx15",3,67108864,536870912,9380302239
"cx15",3,134217728,1073741824,9804904413
"cx15",3,268435456,2147483648,10070645365
"cx15",3,536870912,4294967296,10817090568
"cx15",3,1073741824,8589934592,12777941603
"cx15",3,2147483648,17179869184,14855510958
"cx15",4,128,1024,128573311
"cx15",4,256,2048,128625771
"cx15",4,512,4096,128566818
"cx15",4,1024,8192,128755505
"cx15",4,2048,16384,128953775
"cx15",4,4096,32768,128785394
"cx15",4,8192,65536,254563014
"cx15",4,16384,131072,256225774
"cx15",4,32768,262144,335830197
"cx15",4,65536,524288,462392504
"cx15",4,131072,1048576,571146736
"cx15",4,262144,2097152,1314741408
"cx15",4,524288,4194304,1712799906
"cx15",4,1048576,8388608,2072669305
"cx15",4,2097152,16777216,3994255409
"cx15",4,4194304,33554432,4877112717
"cx15",4,8388608,67108864,7333198219
"cx15",4,16777216,134217728,8044766543
"cx15",4,33554432,268435456,8678749477
"cx15",4,67108864,536870912,9372367658
"cx15",4,134217728,1073741824,9803966199
"cx15",4,268435456,2147483648,10089961362
"cx15",4,536870912,4294967296,10858194543
"cx15",4,1073741824,8589934592,13041330689
"cx15",4,2147483648,17179869184,14909307579
