MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx25",0,128,1024,154477352
"cx25",0,256,2048,153699056
"cx25",0,512,4096,153917568
"cx25",0,1024,8192,153764269
"cx25",0,2048,16384,153937135
"cx25",0,4096,32768,153990015
"cx25",0,8192,65536,289987123
"cx25",0,16384,131072,345392424
"cx25",0,32768,262144,417196989
"cx25",0,65536,524288,571216830
"cx25",0,131072,1048576,982353861
"cx25",0,262144,2097152,1210594185
"cx25",0,524288,4194304,153855552
"cx25",0,1048576,8388608,1375104215
"cx25",0,2097152,16777216,2968430643
"cx25",0,4194304,33554432,7653205228
"cx25",0,8388608,67108864,8989352010
"cx25",0,16777216,134217728,11558453037
"cx25",0,33554432,268435456,12398647462
"cx25",0,67108864,536870912,12916190806
"cx25",0,134217728,1073741824,13258258968
"cx25",0,268435456,2147483648,13805756050
"cx25",0,536870912,4294967296,16388415218
"cx25",0,1073741824,8589934592,20208330018
"cx25",0,2147483648,17179869184,23141025787
"cx25",1,128,1024,153503149
"cx25",1,256,2048,154291032
"cx25",1,512,4096,154122565
"cx25",1,1024,8192,153684020
"cx25",1,2048,16384,153417097
"cx25",1,4096,32768,153767506
"cx25",1,8192,65536,286909272
"cx25",1,16384,131072,350956553
"cx25",1,32768,262144,378116947
"cx25",1,65536,524288,604966805
"cx25",1,131072,1048576,979967956
"cx25",1,262144,2097152,1202405467
"cx25",1,524288,4194304,1316176472
"cx25",1,1048576,8388608,1374631676
"cx25",1,2097152,16777216,2881622201
"cx25",1,4194304,33554432,7638501322
"cx25",1,8388608,67108864,10095016200
"cx25",1,16777216,134217728,11559605499
"cx25",1,33554432,268435456,12412651692
"cx25",1,67108864,536870912,12902843743
"cx25",1,134217728,1073741824,13289614015
"cx25",1,268435456,2147483648,13955407922
"cx25",1,536870912,4294967296,16718639199
"cx25",1,1073741824,8589934592,20395247267
"cx25",1,2147483648,17179869184,22639809688
"cx25",2,128,1024,153397493
"cx25",2,256,2048,153393115
"cx25",2,512,4096,153186255
"cx25",2,1024,8192,153282827
"cx25",2,2048,16384,154050934
"cx25",2,4096,32768,153569177
"cx25",2,8192,65536,289396702
"cx25",2,16384,131072,344668277
"cx25",2,32768,262144,375176410
"cx25",2,65536,524288,560060907
"cx25",2,131072,1048576,987879941
"cx25",2,262144,2097152,1203379962
"cx25",2,524288,4194304,1312701932
"cx25",2,1048576,8388608,1372735904
"cx25",2,2097152,16777216,816221186
"cx25",2,4194304,33554432,7639572291
"cx25",2,8388608,67108864,9970231272
"cx25",2,16777216,134217728,11556308939
"cx25",2,33554432,268435456,12405408264
"cx25",2,67108864,536870912,12860009465
"cx25",2,134217728,1073741824,13269539172
"cx25",2,268435456,2147483648,13990608192
"cx25",2,536870912,4294967296,16747121309
"cx25",2,1073741824,8589934592,20838059202
"cx25",2,2147483648,17179869184,22755522771
"cx25",3,128,1024,153940700
"cx25",3,256,2048,154004801
"cx25",3,512,4096,153859206
"cx25",3,1024,8192,153936082
"cx25",3,2048,16384,153796159
"cx25",3,4096,32768,154656828
"cx25",3,8192,65536,288922332
"cx25",3,16384,131072,344117039
"cx25",3,32768,262144,376111963
"cx25",3,65536,524288,603737127
"cx25",3,131072,1048576,991981636
"cx25",3,262144,2097152,1202733126
"cx25",3,524288,4194304,1313792975
"cx25",3,1048576,8388608,1375605833
"cx25",3,2097152,16777216,3004040493
"cx25",3,4194304,33554432,7626630132
"cx25",3,8388608,67108864,10080103322
"cx25",3,16777216,134217728,11552746162
"cx25",3,33554432,268435456,12397047737
"cx25",3,67108864,536870912,12840424912
"cx25",3,134217728,1073741824,13229274360
"cx25",3,268435456,2147483648,13989173708
"cx25",3,536870912,4294967296,17021240437
"cx25",3,1073741824,8589934592,20381605977
"cx25",3,2147483648,17179869184,22375927052
"cx25",4,128,1024,153742903
"cx25",4,256,2048,152809416
"cx25",4,512,4096,153924095
"cx25",4,1024,8192,154125423
"cx25",4,2048,16384,153530743
"cx25",4,4096,32768,154399539
"cx25",4,8192,65536,289058630
"cx25",4,16384,131072,344631686
"cx25",4,32768,262144,376358862
"cx25",4,65536,524288,600688379
"cx25",4,131072,1048576,982103071
"cx25",4,262144,2097152,1203807404
"cx25",4,524288,4194304,1315476609
"cx25",4,1048576,8388608,1376682048
"cx25",4,2097152,16777216,3042632642
"cx25",4,4194304,33554432,7619619545
"cx25",4,8388608,67108864,10033493272
"cx25",4,16777216,134217728,11563987223
"cx25",4,33554432,268435456,12395203886
"cx25",4,67108864,536870912,12845420223
"cx25",4,134217728,1073741824,13195537495
"cx25",4,268435456,2147483648,13935246707
"cx25",4,536870912,4294967296,16774306961
"cx25",4,1073741824,8589934592,20755535791
"cx25",4,2147483648,17179869184,22547759448
