MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx07",0,128,1024,131967221
"cx07",0,256,2048,129023426
"cx07",0,512,4096,128914003
"cx07",0,1024,8192,128650586
"cx07",0,2048,16384,128922035
"cx07",0,4096,32768,137865377
"cx07",0,8192,65536,254824283
"cx07",0,16384,131072,309501774
"cx07",0,32768,262144,334519200
"cx07",0,65536,524288,463976598
"cx07",0,131072,1048576,639349348
"cx07",0,262144,2097152,1289212582
"cx07",0,524288,4194304,667392524
"cx07",0,1048576,8388608,1913120634
"cx07",0,2097152,16777216,3972913090
"cx07",0,4194304,33554432,4586762960
"cx07",0,8388608,67108864,7423210246
"cx07",0,16777216,134217728,8222735690
"cx07",0,33554432,268435456,8820399260
"cx07",0,67108864,536870912,9422906663
"cx07",0,134217728,1073741824,9840713223
"cx07",0,268435456,2147483648,10115050038
"cx07",0,536870912,4294967296,10785709328
"cx07",0,1073741824,8589934592,13042039567
"cx07",0,2147483648,17179869184,14918785099
"cx07",1,128,1024,128832488
"cx07",1,256,2048,128745013
"cx07",1,512,4096,128667327
"cx07",1,1024,8192,128754066
"cx07",1,2048,16384,128766766
"cx07",1,4096,32768,129097010
"cx07",1,8192,65536,254455651
"cx07",1,16384,131072,306974969
"cx07",1,32768,262144,334629566
"cx07",1,65536,524288,464135479
"cx07",1,131072,1048576,685151339
"cx07",1,262144,2097152,1291235717
"cx07",1,524288,4194304,1623476455
"cx07",1,1048576,8388608,1894711818
"cx07",1,2097152,16777216,2866998255
"cx07",1,4194304,33554432,6236221551
"cx07",1,8388608,67108864,7351999533
"cx07",1,16777216,134217728,8068706162
"cx07",1,33554432,268435456,8724910621
"cx07",1,67108864,536870912,9354700676
"cx07",1,134217728,1073741824,9828795685
"cx07",1,268435456,2147483648,10112211135
"cx07",1,536870912,4294967296,10928449615
"cx07",1,1073741824,8589934592,12873724716
"cx07",1,2147483648,17179869184,14855859388
"cx07",2,128,1024,128880653
"cx07",2,256,2048,128650030
"cx07",2,512,4096,128840097
"cx07",2,1024,8192,128678953
"cx07",2,2048,16384,128835428
"cx07",2,4096,32768,129127519
"cx07",2,8192,65536,255514786
"cx07",2,16384,131072,128650988
"cx07",2,32768,262144,336432620
"cx07",2,65536,524288,464977912
"cx07",2,131072,1048576,693193336
"cx07",2,262144,2097152,1359576840
"cx07",2,524288,4194304,1723699146
"cx07",2,1048576,8388608,2070944858
"cx07",2,2097152,16777216,4028801190
"cx07",2,4194304,33554432,5353336122
"cx07",2,8388608,67108864,7359409875
"cx07",2,16777216,134217728,7970927548
"cx07",2,33554432,268435456,8734679270
"cx07",2,67108864,536870912,9398843033
"cx07",2,134217728,1073741824,9825514819
"cx07",2,268435456,2147483648,10108392887
"cx07",2,536870912,4294967296,10839366684
"cx07",2,1073741824,8589934592,13067000171
"cx07",2,2147483648,17179869184,14858801290
"cx07",3,128,1024,128743053
"cx07",3,256,2048,128805932
"cx07",3,512,4096,128652924
"cx07",3,1024,8192,128750937
"cx07",3,2048,16384,128833697
"cx07",3,4096,32768,129624949
"cx07",3,8192,65536,253448225
"cx07",3,16384,131072,309004908
"cx07",3,32768,262144,336738108
"cx07",3,65536,524288,465540007
"cx07",3,131072,1048576,704304794
"cx07",3,262144,2097152,1356139847
"cx07",3,524288,4194304,1724432896
"cx07",3,1048576,8388608,2089461100
"cx07",3,2097152,16777216,4035395221
"cx07",3,4194304,33554432,6128283827
"cx07",3,8388608,67108864,7360489769
"cx07",3,16777216,134217728,8077841893
"cx07",3,33554432,268435456,8729319310
"cx07",3,67108864,536870912,9379602871
"cx07",3,134217728,1073741824,9816919430
"cx07",3,268435456,2147483648,10117918557
"cx07",3,536870912,4294967296,10750073492
"cx07",3,1073741824,8589934592,12994206008
"cx07",3,2147483648,17179869184,14817011994
"cx07",4,128,1024,128751798
"cx07",4,256,2048,128650697
"cx07",4,512,4096,128880386
"cx07",4,1024,8192,128744776
"cx07",4,2048,16384,128749393
"cx07",4,4096,32768,130448435
"cx07",4,8192,65536,203518079
"cx07",4,16384,131072,308833204
"cx07",4,32768,262144,336927406
"cx07",4,65536,524288,464996360
"cx07",4,131072,1048576,638426250
"cx07",4,262144,2097152,1361285572
"cx07",4,524288,4194304,1722038078
"cx07",4,1048576,8388608,2036914379
"cx07",4,2097152,16777216,3638757989
"cx07",4,4194304,33554432,6218778027
"cx07",4,8388608,67108864,7350784782
"cx07",4,16777216,134217728,6903984289
"cx07",4,33554432,268435456,8740859929
"cx07",4,67108864,536870912,9382109913
"cx07",4,134217728,1073741824,9836200712
"cx07",4,268435456,2147483648,10124147683
"cx07",4,536870912,4294967296,10964911109
"cx07",4,1073741824,8589934592,12875283910
"cx07",4,2147483648,17179869184,14854134637
