MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"nx05",0,128,1024,182045187
"nx05",0,256,2048,179096990
"nx05",0,512,4096,179089197
"nx05",0,1024,8192,179074888
"nx05",0,2048,16384,179076381
"nx05",0,4096,32768,179127568
"nx05",0,8192,65536,267564381
"nx05",0,16384,131072,391225680
"nx05",0,32768,262144,448241687
"nx05",0,65536,524288,600407473
"nx05",0,131072,1048576,676450366
"nx05",0,262144,2097152,715679172
"nx05",0,524288,4194304,2022471247
"nx05",0,1048576,8388608,2659196091
"nx05",0,2097152,16777216,3094967730
"nx05",0,4194304,33554432,3497173483
"nx05",0,8388608,67108864,5737877457
"nx05",0,16777216,134217728,8421327449
"nx05",0,33554432,268435456,9901370448
"nx05",0,67108864,536870912,11260817799
"nx05",0,134217728,1073741824,12059495788
"nx05",0,268435456,2147483648,12563195113
"nx05",0,536870912,4294967296,12949633897
"nx05",0,1073741824,8589934592,13361695950
"nx05",0,2147483648,17179869184,14688624869
"nx05",1,128,1024,179127004
"nx05",1,256,2048,179125481
"nx05",1,512,4096,179117937
"nx05",1,1024,8192,179095938
"nx05",1,2048,16384,179077521
"nx05",1,4096,32768,179117318
"nx05",1,8192,65536,271708123
"nx05",1,16384,131072,300080142
"nx05",1,32768,262144,448138238
"nx05",1,65536,524288,601305747
"nx05",1,131072,1048576,707680906
"nx05",1,262144,2097152,1674129308
"nx05",1,524288,4194304,2274000588
"nx05",1,1048576,8388608,2660440358
"nx05",1,2097152,16777216,3095769208
"nx05",1,4194304,33554432,3394345488
"nx05",1,8388608,67108864,5105636068
"nx05",1,16777216,134217728,8415115424
"nx05",1,33554432,268435456,9885102063
"nx05",1,67108864,536870912,11091838733
"nx05",1,134217728,1073741824,12059508491
"nx05",1,268435456,2147483648,12544075868
"nx05",1,536870912,4294967296,12928404303
"nx05",1,1073741824,8589934592,13349204270
"nx05",1,2147483648,17179869184,14617298136
"nx05",2,128,1024,179129000
"nx05",2,256,2048,179079678
"nx05",2,512,4096,179171701
"nx05",2,1024,8192,179115710
"nx05",2,2048,16384,179156754
"nx05",2,4096,32768,179114454
"nx05",2,8192,65536,260984502
"nx05",2,16384,131072,390331382
"nx05",2,32768,262144,448617389
"nx05",2,65536,524288,600743759
"nx05",2,131072,1048576,710280974
"nx05",2,262144,2097152,1672423762
"nx05",2,524288,4194304,2275778950
"nx05",2,1048576,8388608,2660998858
"nx05",2,2097152,16777216,3096293184
"nx05",2,4194304,33554432,3472682505
"nx05",2,8388608,67108864,5139591765
"nx05",2,16777216,134217728,4036323928
"nx05",2,33554432,268435456,4200525104
"nx05",2,67108864,536870912,11208644837
"nx05",2,134217728,1073741824,12125648806
"nx05",2,268435456,2147483648,12561383506
"nx05",2,536870912,4294967296,13514025832
"nx05",2,1073741824,8589934592,13767168839
"nx05",2,2147483648,17179869184,15203838431
"nx05",3,128,1024,179146740
"nx05",3,256,2048,179263103
"nx05",3,512,4096,179108155
"nx05",3,1024,8192,179203716
"nx05",3,2048,16384,179080435
"nx05",3,4096,32768,179274523
"nx05",3,8192,65536,255450216
"nx05",3,16384,131072,392954331
"nx05",3,32768,262144,451697186
"nx05",3,65536,524288,602443548
"nx05",3,131072,1048576,712885171
"nx05",3,262144,2097152,1748656575
"nx05",3,524288,4194304,2387808095
"nx05",3,1048576,8388608,2791165367
"nx05",3,2097152,16777216,3235273370
"nx05",3,4194304,33554432,3618375673
"nx05",3,8388608,67108864,5850510103
"nx05",3,16777216,134217728,7948070220
"nx05",3,33554432,268435456,9888794562
"nx05",3,67108864,536870912,11427880322
"nx05",3,134217728,1073741824,12349041322
"nx05",3,268435456,2147483648,12878309918
"nx05",3,536870912,4294967296,13253663277
"nx05",3,1073741824,8589934592,12921101101
"nx05",3,2147483648,17179869184,14103277726
"nx05",4,128,1024,179198250
"nx05",4,256,2048,179109832
"nx05",4,512,4096,179075905
"nx05",4,1024,8192,179115655
"nx05",4,2048,16384,179076919
"nx05",4,4096,32768,179115954
"nx05",4,8192,65536,271724212
"nx05",4,16384,131072,393354155
"nx05",4,32768,262144,449870970
"nx05",4,65536,524288,602253803
"nx05",4,131072,1048576,710495771
"nx05",4,262144,2097152,1577127543
"nx05",4,524288,4194304,2075143767
"nx05",4,1048576,8388608,2446000289
"nx05",4,2097152,16777216,2865390687
"nx05",4,4194304,33554432,3222900907
"nx05",4,8388608,67108864,5408493968
"nx05",4,16777216,134217728,5752637905
"nx05",4,33554432,268435456,9668233832
"nx05",4,67108864,536870912,10836811018
"nx05",4,134217728,1073741824,11675823878
"nx05",4,268435456,2147483648,12064652656
"nx05",4,536870912,4294967296,12445763112
"nx05",4,1073741824,8589934592,12808777582
"nx05",4,2147483648,17179869184,13991177474
