MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx21",0,128,1024,279764892
"cx21",0,256,2048,278752835
"cx21",0,512,4096,278813679
"cx21",0,1024,8192,278732598
"cx21",0,2048,16384,279118039
"cx21",0,4096,32768,273327620
"cx21",0,8192,65536,431105846
"cx21",0,16384,131072,396707888
"cx21",0,32768,262144,370220361
"cx21",0,65536,524288,609859831
"cx21",0,131072,1048576,916139713
"cx21",0,262144,2097152,1164300370
"cx21",0,524288,4194304,1265035430
"cx21",0,1048576,8388608,1338650337
"cx21",0,2097152,16777216,4558757377
"cx21",0,4194304,33554432,9762620140
"cx21",0,8388608,67108864,13590975642
"cx21",0,16777216,134217728,15419194529
"cx21",0,33554432,268435456,16575137217
"cx21",0,67108864,536870912,17229276924
"cx21",0,134217728,1073741824,17675403118
"cx21",0,268435456,2147483648,18663613616
"cx21",0,536870912,4294967296,23148277529
"cx21",0,1073741824,8589934592,27108537598
"cx21",0,2147483648,17179869184,30642846772
"cx21",1,128,1024,147610815
"cx21",1,256,2048,147777888
"cx21",1,512,4096,147785022
"cx21",1,1024,8192,147603482
"cx21",1,2048,16384,147650831
"cx21",1,4096,32768,148036593
"cx21",1,8192,65536,272848530
"cx21",1,16384,131072,331673062
"cx21",1,32768,262144,389003614
"cx21",1,65536,524288,626520111
"cx21",1,131072,1048576,956420300
"cx21",1,262144,2097152,1171348802
"cx21",1,524288,4194304,1275953355
"cx21",1,1048576,8388608,1415873138
"cx21",1,2097152,16777216,4255111929
"cx21",1,4194304,33554432,10097747885
"cx21",1,8388608,67108864,13080104181
"cx21",1,16777216,134217728,15464451210
"cx21",1,33554432,268435456,16547021696
"cx21",1,67108864,536870912,17216336229
"cx21",1,134217728,1073741824,17674011512
"cx21",1,268435456,2147483648,18652031340
"cx21",1,536870912,4294967296,22745508525
"cx21",1,1073741824,8589934592,28219598362
"cx21",1,2147483648,17179869184,30673540719
"cx21",2,128,1024,147539349
"cx21",2,256,2048,147573795
"cx21",2,512,4096,147851336
"cx21",2,1024,8192,147623397
"cx21",2,2048,16384,147620813
"cx21",2,4096,32768,148340983
"cx21",2,8192,65536,277442679
"cx21",2,16384,131072,331219309
"cx21",2,32768,262144,386685225
"cx21",2,65536,524288,600777131
"cx21",2,131072,1048576,958996939
"cx21",2,262144,2097152,1173202466
"cx21",2,524288,4194304,1277310580
"cx21",2,1048576,8388608,1403813799
"cx21",2,2097152,16777216,4319712922
"cx21",2,4194304,33554432,10070477602
"cx21",2,8388608,67108864,13595615211
"cx21",2,16777216,134217728,15460143016
"cx21",2,33554432,268435456,16584784624
"cx21",2,67108864,536870912,17305073393
"cx21",2,134217728,1073741824,17776636006
"cx21",2,268435456,2147483648,18650688923
"cx21",2,536870912,4294967296,22748484380
"cx21",2,1073741824,8589934592,27347188383
"cx21",2,2147483648,17179869184,30635402653
"cx21",3,128,1024,147665106
"cx21",3,256,2048,147725079
"cx21",3,512,4096,147572152
"cx21",3,1024,8192,147564448
"cx21",3,2048,16384,147550451
"cx21",3,4096,32768,148116533
"cx21",3,8192,65536,278391542
"cx21",3,16384,131072,332729427
"cx21",3,32768,262144,391664149
"cx21",3,65536,524288,626938518
"cx21",3,131072,1048576,958766625
"cx21",3,262144,2097152,1170332291
"cx21",3,524288,4194304,1275543758
"cx21",3,1048576,8388608,1366438478
"cx21",3,2097152,16777216,4821881872
"cx21",3,4194304,33554432,9324359618
"cx21",3,8388608,67108864,13560043913
"cx21",3,16777216,134217728,15434485138
"cx21",3,33554432,268435456,16521550081
"cx21",3,67108864,536870912,17172264517
"cx21",3,134217728,1073741824,17609465547
"cx21",3,268435456,2147483648,18632379839
"cx21",3,536870912,4294967296,22527811215
"cx21",3,1073741824,8589934592,27259237863
"cx21",3,2147483648,17179869184,30670617096
"cx21",4,128,1024,147705341
"cx21",4,256,2048,147592369
"cx21",4,512,4096,147746578
"cx21",4,1024,8192,147635129
"cx21",4,2048,16384,147678811
"cx21",4,4096,32768,148539714
"cx21",4,8192,65536,273793095
"cx21",4,16384,131072,331775410
"cx21",4,32768,262144,389534786
"cx21",4,65536,524288,574328781
"cx21",4,131072,1048576,956481241
"cx21",4,262144,2097152,1175307482
"cx21",4,524288,4194304,1277278294
"cx21",4,1048576,8388608,1418954563
"cx21",4,2097152,16777216,4538589139
"cx21",4,4194304,33554432,9986310661
"cx21",4,8388608,67108864,13612463959
"cx21",4,16777216,134217728,15473991619
"cx21",4,33554432,268435456,16584969200
"cx21",4,67108864,536870912,17306571546
"cx21",4,134217728,1073741824,17768359966
"cx21",4,268435456,2147483648,18792693854
"cx21",4,536870912,4294967296,22702848721
"cx21",4,1073741824,8589934592,26884016514
"cx21",4,2147483648,17179869184,30698683387
