MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx04",0,128,1024,130794923
"cx04",0,256,2048,128780006
"cx04",0,512,4096,128662081
"cx04",0,1024,8192,128667398
"cx04",0,2048,16384,128756236
"cx04",0,4096,32768,132218250
"cx04",0,8192,65536,243788476
"cx04",0,16384,131072,315167494
"cx04",0,32768,262144,337071403
"cx04",0,65536,524288,464258160
"cx04",0,131072,1048576,714417518
"cx04",0,262144,2097152,1307473119
"cx04",0,524288,4194304,1647124700
"cx04",0,1048576,8388608,2011905304
"cx04",0,2097152,16777216,2834468603
"cx04",0,4194304,33554432,6132354365
"cx04",0,8388608,67108864,7238349425
"cx04",0,16777216,134217728,7479225669
"cx04",0,33554432,268435456,8409381419
"cx04",0,67108864,536870912,9158911798
"cx04",0,134217728,1073741824,9623071812
"cx04",0,268435456,2147483648,9899849215
"cx04",0,536870912,4294967296,10580395895
"cx04",0,1073741824,8589934592,12702814709
"cx04",0,2147483648,17179869184,14616222030
"cx04",1,128,1024,128632059
"cx04",1,256,2048,128745406
"cx04",1,512,4096,128669755
"cx04",1,1024,8192,128767377
"cx04",1,2048,16384,129393472
"cx04",1,4096,32768,130560952
"cx04",1,8192,65536,250439721
"cx04",1,16384,131072,308999196
"cx04",1,32768,262144,334910058
"cx04",1,65536,524288,464329281
"cx04",1,131072,1048576,703694969
"cx04",1,262144,2097152,1337605135
"cx04",1,524288,4194304,1694276891
"cx04",1,1048576,8388608,2040672102
"cx04",1,2097152,16777216,3173761190
"cx04",1,4194304,33554432,6087090356
"cx04",1,8388608,67108864,7157253644
"cx04",1,16777216,134217728,7791388108
"cx04",1,33554432,268435456,8563482940
"cx04",1,67108864,536870912,9258142600
"cx04",1,134217728,1073741824,9727337780
"cx04",1,268435456,2147483648,9974070980
"cx04",1,536870912,4294967296,10772347838
"cx04",1,1073741824,8589934592,12862165830
"cx04",1,2147483648,17179869184,14491740875
"cx04",2,128,1024,128648002
"cx04",2,256,2048,128727268
"cx04",2,512,4096,128761870
"cx04",2,1024,8192,128830160
"cx04",2,2048,16384,128625371
"cx04",2,4096,32768,133040319
"cx04",2,8192,65536,261173910
"cx04",2,16384,131072,308351721
"cx04",2,32768,262144,337336215
"cx04",2,65536,524288,464250543
"cx04",2,131072,1048576,688698448
"cx04",2,262144,2097152,1309404290
"cx04",2,524288,4194304,1693369969
"cx04",2,1048576,8388608,1960972693
"cx04",2,2097152,16777216,3898655263
"cx04",2,4194304,33554432,6064000514
"cx04",2,8388608,67108864,7138074978
"cx04",2,16777216,134217728,4459290065
"cx04",2,33554432,268435456,8504236268
"cx04",2,67108864,536870912,9202276751
"cx04",2,134217728,1073741824,9648827348
"cx04",2,268435456,2147483648,9932867683
"cx04",2,536870912,4294967296,10733331416
"cx04",2,1073741824,8589934592,12832067855
"cx04",2,2147483648,17179869184,14487172967
"cx04",3,128,1024,131656503
"cx04",3,256,2048,128669110
"cx04",3,512,4096,129188005
"cx04",3,1024,8192,128854464
"cx04",3,2048,16384,128679879
"cx04",3,4096,32768,132875178
"cx04",3,8192,65536,253460647
"cx04",3,16384,131072,308984437
"cx04",3,32768,262144,336836718
"cx04",3,65536,524288,464314302
"cx04",3,131072,1048576,723848826
"cx04",3,262144,2097152,1340566526
"cx04",3,524288,4194304,1694337777
"cx04",3,1048576,8388608,1977157547
"cx04",3,2097152,16777216,3961811618
"cx04",3,4194304,33554432,6065600527
"cx04",3,8388608,67108864,6913086466
"cx04",3,16777216,134217728,7533094967
"cx04",3,33554432,268435456,8576792235
"cx04",3,67108864,536870912,9189746420
"cx04",3,134217728,1073741824,9640546039
"cx04",3,268435456,2147483648,9914127339
"cx04",3,536870912,4294967296,10834521586
"cx04",3,1073741824,8589934592,12733829048
"cx04",3,2147483648,17179869184,14476076136
"cx04",4,128,1024,128757615
"cx04",4,256,2048,128649942
"cx04",4,512,4096,128996237
"cx04",4,1024,8192,128808414
"cx04",4,2048,16384,128745635
"cx04",4,4096,32768,135449845
"cx04",4,8192,65536,260069851
"cx04",4,16384,131072,305659879
"cx04",4,32768,262144,336894764
"cx04",4,65536,524288,463530164
"cx04",4,131072,1048576,721242307
"cx04",4,262144,2097152,1330493838
"cx04",4,524288,4194304,1696605589
"cx04",4,1048576,8388608,2067302577
"cx04",4,2097152,16777216,3764709712
"cx04",4,4194304,33554432,5974190671
"cx04",4,8388608,67108864,6400060600
"cx04",4,16777216,134217728,2930826469
"cx04",4,33554432,268435456,8513853754
"cx04",4,67108864,536870912,9138771080
"cx04",4,134217728,1073741824,9568976157
"cx04",4,268435456,2147483648,9757761356
"cx04",4,536870912,4294967296,10657287931
"cx04",4,1073741824,8589934592,12654940633
"cx04",4,2147483648,17179869184,14415090188
