MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx28",0,128,1024,174138529
"cx28",0,256,2048,147616008
"cx28",0,512,4096,147597784
"cx28",0,1024,8192,147581223
"cx28",0,2048,16384,147544434
"cx28",0,4096,32768,147936429
"cx28",0,8192,65536,277278467
"cx28",0,16384,131072,328669941
"cx28",0,32768,262144,358859832
"cx28",0,65536,524288,582684852
"cx28",0,131072,1048576,944453221
"cx28",0,262144,2097152,1159400112
"cx28",0,524288,4194304,1268773005
"cx28",0,1048576,8388608,1331949023
"cx28",0,2097152,16777216,2937853951
"cx28",0,4194304,33554432,7541560579
"cx28",0,8388608,67108864,9979445167
"cx28",0,16777216,134217728,11427022942
"cx28",0,33554432,268435456,12270739818
"cx28",0,67108864,536870912,12878221739
"cx28",0,134217728,1073741824,13526521878
"cx28",0,268435456,2147483648,13924558064
"cx28",0,536870912,4294967296,16194041298
"cx28",0,1073741824,8589934592,19653335959
"cx28",0,2147483648,17179869184,22183669697
"cx28",1,128,1024,147546589
"cx28",1,256,2048,147508106
"cx28",1,512,4096,147602433
"cx28",1,1024,8192,147549674
"cx28",1,2048,16384,147647638
"cx28",1,4096,32768,147693223
"cx28",1,8192,65536,281147815
"cx28",1,16384,131072,344642340
"cx28",1,32768,262144,360279181
"cx28",1,65536,524288,557335739
"cx28",1,131072,1048576,946999692
"cx28",1,262144,2097152,1163966275
"cx28",1,524288,4194304,1270600979
"cx28",1,1048576,8388608,1331273639
"cx28",1,2097152,16777216,2792764815
"cx28",1,4194304,33554432,7559025413
"cx28",1,8388608,67108864,10011974838
"cx28",1,16777216,134217728,11438351640
"cx28",1,33554432,268435456,12274179820
"cx28",1,67108864,536870912,12775635777
"cx28",1,134217728,1073741824,13521731353
"cx28",1,268435456,2147483648,13997608917
"cx28",1,536870912,4294967296,16186774604
"cx28",1,1073741824,8589934592,19622940642
"cx28",1,2147483648,17179869184,22027213088
"cx28",2,128,1024,147638681
"cx28",2,256,2048,147515570
"cx28",2,512,4096,147544133
"cx28",2,1024,8192,147601412
"cx28",2,2048,16384,147604577
"cx28",2,4096,32768,147740552
"cx28",2,8192,65536,274313763
"cx28",2,16384,131072,330174189
"cx28",2,32768,262144,361023715
"cx28",2,65536,524288,548220565
"cx28",2,131072,1048576,931154251
"cx28",2,262144,2097152,1164621412
"cx28",2,524288,4194304,1270508295
"cx28",2,1048576,8388608,1331730273
"cx28",2,2097152,16777216,2824956494
"cx28",2,4194304,33554432,7143726150
"cx28",2,8388608,67108864,9989591800
"cx28",2,16777216,134217728,11362186580
"cx28",2,33554432,268435456,12218016597
"cx28",2,67108864,536870912,12729133250
"cx28",2,134217728,1073741824,13513126354
"cx28",2,268435456,2147483648,13898950465
"cx28",2,536870912,4294967296,16210476286
"cx28",2,1073741824,8589934592,19828932284
"cx28",2,2147483648,17179869184,21975692600
"cx28",3,128,1024,147691915
"cx28",3,256,2048,147564206
"cx28",3,512,4096,147474267
"cx28",3,1024,8192,147548055
"cx28",3,2048,16384,147474969
"cx28",3,4096,32768,148222008
"cx28",3,8192,65536,277551163
"cx28",3,16384,131072,329967298
"cx28",3,32768,262144,361531050
"cx28",3,65536,524288,564159191
"cx28",3,131072,1048576,932843892
"cx28",3,262144,2097152,1163779636
"cx28",3,524288,4194304,1269495692
"cx28",3,1048576,8388608,1331234502
"cx28",3,2097152,16777216,2446372099
"cx28",3,4194304,33554432,7539282314
"cx28",3,8388608,67108864,9948963773
"cx28",3,16777216,134217728,11337907496
"cx28",3,33554432,268435456,12192757083
"cx28",3,67108864,536870912,12773729890
"cx28",3,134217728,1073741824,13484428501
"cx28",3,268435456,2147483648,13843667734
"cx28",3,536870912,4294967296,16119836454
"cx28",3,1073741824,8589934592,19759140969
"cx28",3,2147483648,17179869184,22150717809
"cx28",4,128,1024,147613463
"cx28",4,256,2048,147566844
"cx28",4,512,4096,147668025
"cx28",4,1024,8192,147667364
"cx28",4,2048,16384,147619884
"cx28",4,4096,32768,149039424
"cx28",4,8192,65536,273482833
"cx28",4,16384,131072,330772903
"cx28",4,32768,262144,360450989
"cx28",4,65536,524288,557457859
"cx28",4,131072,1048576,945925451
"cx28",4,262144,2097152,1161337810
"cx28",4,524288,4194304,1271066544
"cx28",4,1048576,8388608,1332774549
"cx28",4,2097152,16777216,2790794108
"cx28",4,4194304,33554432,7541592251
"cx28",4,8388608,67108864,9993256858
"cx28",4,16777216,134217728,11352883377
"cx28",4,33554432,268435456,12265875318
"cx28",4,67108864,536870912,12841447198
"cx28",4,134217728,1073741824,13503833890
"cx28",4,268435456,2147483648,13957499153
"cx28",4,536870912,4294967296,16062572758
"cx28",4,1073741824,8589934592,19554311988
"cx28",4,2147483648,17179869184,22133055616
