MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx32",0,128,1024,286027480
"cx32",0,256,2048,279043630
"cx32",0,512,4096,278874243
"cx32",0,1024,8192,278905181
"cx32",0,2048,16384,278850147
"cx32",0,4096,32768,273793356
"cx32",0,8192,65536,431125367
"cx32",0,16384,131072,397401196
"cx32",0,32768,262144,371332663
"cx32",0,65536,524288,524470888
"cx32",0,131072,1048576,906448156
"cx32",0,262144,2097152,1162082308
"cx32",0,524288,4194304,1270942814
"cx32",0,1048576,8388608,1334243843
"cx32",0,2097152,16777216,3672869496
"cx32",0,4194304,33554432,9671688466
"cx32",0,8388608,67108864,13568804019
"cx32",0,16777216,134217728,15426663876
"cx32",0,33554432,268435456,16549761911
"cx32",0,67108864,536870912,17199740966
"cx32",0,134217728,1073741824,17624525179
"cx32",0,268435456,2147483648,18572849348
"cx32",0,536870912,4294967296,22837337204
"cx32",0,1073741824,8589934592,27000247100
"cx32",0,2147483648,17179869184,30631844112
"cx32",1,128,1024,147848194
"cx32",1,256,2048,147644813
"cx32",1,512,4096,147524097
"cx32",1,1024,8192,147557329
"cx32",1,2048,16384,147552600
"cx32",1,4096,32768,148205822
"cx32",1,8192,65536,273195735
"cx32",1,16384,131072,330017957
"cx32",1,32768,262144,360462660
"cx32",1,65536,524288,536876638
"cx32",1,131072,1048576,963660922
"cx32",1,262144,2097152,1171667430
"cx32",1,524288,4194304,1276300133
"cx32",1,1048576,8388608,1368844456
"cx32",1,2097152,16777216,3534367793
"cx32",1,4194304,33554432,9940746772
"cx32",1,8388608,67108864,13547879282
"cx32",1,16777216,134217728,15411727260
"cx32",1,33554432,268435456,16521821981
"cx32",1,67108864,536870912,17147512935
"cx32",1,134217728,1073741824,17571731922
"cx32",1,268435456,2147483648,18543185401
"cx32",1,536870912,4294967296,22860644963
"cx32",1,1073741824,8589934592,27011332449
"cx32",1,2147483648,17179869184,30515163644
"cx32",2,128,1024,148299057
"cx32",2,256,2048,147671654
"cx32",2,512,4096,147524257
"cx32",2,1024,8192,147540428
"cx32",2,2048,16384,147558842
"cx32",2,4096,32768,147653349
"cx32",2,8192,65536,275456433
"cx32",2,16384,131072,324644421
"cx32",2,32768,262144,361246450
"cx32",2,65536,524288,482572432
"cx32",2,131072,1048576,826618187
"cx32",2,262144,2097152,1172998853
"cx32",2,524288,4194304,1275667952
"cx32",2,1048576,8388608,1370021266
"cx32",2,2097152,16777216,3516603604
"cx32",2,4194304,33554432,9977704701
"cx32",2,8388608,67108864,4865263941
"cx32",2,16777216,134217728,15421441037
"cx32",2,33554432,268435456,16542191350
"cx32",2,67108864,536870912,17225735245
"cx32",2,134217728,1073741824,17674935230
"cx32",2,268435456,2147483648,18667486001
"cx32",2,536870912,4294967296,22677753640
"cx32",2,1073741824,8589934592,27091657445
"cx32",2,2147483648,17179869184,30637993653
"cx32",3,128,1024,147672940
"cx32",3,256,2048,147603621
"cx32",3,512,4096,147555281
"cx32",3,1024,8192,147571511
"cx32",3,2048,16384,148106932
"cx32",3,4096,32768,147916787
"cx32",3,8192,65536,276483367
"cx32",3,16384,131072,331497833
"cx32",3,32768,262144,360799726
"cx32",3,65536,524288,559019057
"cx32",3,131072,1048576,962745908
"cx32",3,262144,2097152,1174280364
"cx32",3,524288,4194304,1275809165
"cx32",3,1048576,8388608,1333228124
"cx32",3,2097152,16777216,1136333291
"cx32",3,4194304,33554432,9099864923
"cx32",3,8388608,67108864,13578936842
"cx32",3,16777216,134217728,15455457866
"cx32",3,33554432,268435456,16546632155
"cx32",3,67108864,536870912,17204297388
"cx32",3,134217728,1073741824,17626983500
"cx32",3,268435456,2147483648,18537707821
"cx32",3,536870912,4294967296,22945588626
"cx32",3,1073741824,8589934592,27441495390
"cx32",3,2147483648,17179869184,30623880056
"cx32",4,128,1024,147806979
"cx32",4,256,2048,147505414
"cx32",4,512,4096,147500756
"cx32",4,1024,8192,147517037
"cx32",4,2048,16384,147609460
"cx32",4,4096,32768,149140493
"cx32",4,8192,65536,154051760
"cx32",4,16384,131072,331546487
"cx32",4,32768,262144,363208187
"cx32",4,65536,524288,554837282
"cx32",4,131072,1048576,961739678
"cx32",4,262144,2097152,1173456186
"cx32",4,524288,4194304,1275977356
"cx32",4,1048576,8388608,1371831496
"cx32",4,2097152,16777216,3581958757
"cx32",4,4194304,33554432,8538256593
"cx32",4,8388608,67108864,13583699583
"cx32",4,16777216,134217728,15461162819
"cx32",4,33554432,268435456,16565648606
"cx32",4,67108864,536870912,17212775172
"cx32",4,134217728,1073741824,17705083846
"cx32",4,268435456,2147483648,18639647287
"cx32",4,536870912,4294967296,22911345532
"cx32",4,1073741824,8589934592,27357649297
"cx32",4,2147483648,17179869184,30631392369
