MACHINE,RUN_ID,ELEMENT_COUNT,SIZE_IN_BYTES,RUNTIME_NS
"cx10",0,128,1024,130243152
"cx10",0,256,2048,128844962
"cx10",0,512,4096,128730438
"cx10",0,1024,8192,128749317
"cx10",0,2048,16384,128651611
"cx10",0,4096,32768,130609923
"cx10",0,8192,65536,255136732
"cx10",0,16384,131072,309693056
"cx10",0,32768,262144,336634679
"cx10",0,65536,524288,467563208
"cx10",0,131072,1048576,695329987
"cx10",0,262144,2097152,1174514450
"cx10",0,524288,4194304,1584525030
"cx10",0,1048576,8388608,1993453765
"cx10",0,2097152,16777216,3802564870
"cx10",0,4194304,33554432,6193195336
"cx10",0,8388608,67108864,7413369866
"cx10",0,16777216,134217728,8147569451
"cx10",0,33554432,268435456,8787679083
"cx10",0,67108864,536870912,9408467356
"cx10",0,134217728,1073741824,9820232814
"cx10",0,268435456,2147483648,10093138494
"cx10",0,536870912,4294967296,10686829048
"cx10",0,1073741824,8589934592,13000545561
"cx10",0,2147483648,17179869184,14920583816
"cx10",1,128,1024,128732018
"cx10",1,256,2048,128664077
"cx10",1,512,4096,128740075
"cx10",1,1024,8192,128746818
"cx10",1,2048,16384,128898387
"cx10",1,4096,32768,138155172
"cx10",1,8192,65536,255157826
"cx10",1,16384,131072,308900064
"cx10",1,32768,262144,337341261
"cx10",1,65536,524288,463722897
"cx10",1,131072,1048576,642843619
"cx10",1,262144,2097152,1129822027
"cx10",1,524288,4194304,1648613620
"cx10",1,1048576,8388608,1962791486
"cx10",1,2097152,16777216,4000625840
"cx10",1,4194304,33554432,5557930393
"cx10",1,8388608,67108864,7430442188
"cx10",1,16777216,134217728,8098011487
"cx10",1,33554432,268435456,8785480767
"cx10",1,67108864,536870912,9409474942
"cx10",1,134217728,1073741824,9832244758
"cx10",1,268435456,2147483648,10072076368
"cx10",1,536870912,4294967296,10781754095
"cx10",1,1073741824,8589934592,12942305788
"cx10",1,2147483648,17179869184,14919904447
"cx10",2,128,1024,128827183
"cx10",2,256,2048,128731750
"cx10",2,512,4096,128803918
"cx10",2,1024,8192,128845637
"cx10",2,2048,16384,128776771
"cx10",2,4096,32768,131500594
"cx10",2,8192,65536,222432709
"cx10",2,16384,131072,309662337
"cx10",2,32768,262144,336698839
"cx10",2,65536,524288,463319675
"cx10",2,131072,1048576,642973694
"cx10",2,262144,2097152,1302630963
"cx10",2,524288,4194304,1646727265
"cx10",2,1048576,8388608,1909804267
"cx10",2,2097152,16777216,3875029037
"cx10",2,4194304,33554432,6066819923
"cx10",2,8388608,67108864,7417946504
"cx10",2,16777216,134217728,8142906440
"cx10",2,33554432,268435456,8778167845
"cx10",2,67108864,536870912,9409734908
"cx10",2,134217728,1073741824,9831381856
"cx10",2,268435456,2147483648,10094733952
"cx10",2,536870912,4294967296,10869235394
"cx10",2,1073741824,8589934592,12948065365
"cx10",2,2147483648,17179869184,15007019644
"cx10",3,128,1024,129507413
"cx10",3,256,2048,128766609
"cx10",3,512,4096,128731005
"cx10",3,1024,8192,128658405
"cx10",3,2048,16384,128742375
"cx10",3,4096,32768,130298514
"cx10",3,8192,65536,236857829
"cx10",3,16384,131072,307514466
"cx10",3,32768,262144,336788890
"cx10",3,65536,524288,464827438
"cx10",3,131072,1048576,630592988
"cx10",3,262144,2097152,1172970104
"cx10",3,524288,4194304,1649833000
"cx10",3,1048576,8388608,1913044702
"cx10",3,2097152,16777216,3990998920
"cx10",3,4194304,33554432,6262035056
"cx10",3,8388608,67108864,7420999631
"cx10",3,16777216,134217728,7582322875
"cx10",3,33554432,268435456,8786941761
"cx10",3,67108864,536870912,9420546286
"cx10",3,134217728,1073741824,9828598327
"cx10",3,268435456,2147483648,10092059467
"cx10",3,536870912,4294967296,10837910221
"cx10",3,1073741824,8589934592,13032200782
"cx10",3,2147483648,17179869184,14959162790
"cx10",4,128,1024,128748038
"cx10",4,256,2048,128843382
"cx10",4,512,4096,128820408
"cx10",4,1024,8192,128744356
"cx10",4,2048,16384,128734535
"cx10",4,4096,32768,129825754
"cx10",4,8192,65536,255888917
"cx10",4,16384,131072,308296246
"cx10",4,32768,262144,296373675
"cx10",4,65536,524288,464588182
"cx10",4,131072,1048576,633177858
"cx10",4,262144,2097152,575540088
"cx10",4,524288,4194304,1576826186
"cx10",4,1048576,8388608,2003361687
"cx10",4,2097152,16777216,3467605974
"cx10",4,4194304,33554432,6215834571
"cx10",4,8388608,67108864,6367949025
"cx10",4,16777216,134217728,8151607615
"cx10",4,33554432,268435456,8737214270
"cx10",4,67108864,536870912,9409265782
"cx10",4,134217728,1073741824,9828714667
"cx10",4,268435456,2147483648,10098059639
"cx10",4,536870912,4294967296,10666853860
"cx10",4,1073741824,8589934592,13004876910
"cx10",4,2147483648,17179869184,14918774544
